participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
80,2,3,0,1,4,4,3,4,5,3,2,5,4,5,5,1,-2,3,2,1,2,1,-2,2,1,2,-1,1,2,-2,2,-2,2,-2,2,-3,-3,3,2,5,5,4,2,4,4,5,4,0.83,2,-0.5,2,4.25,2,23,4,104.288,0
81,1,1,0,1,5,3,0,3,4,6,2,3,4,4,3,0,0,-1,-1,-1,-1,0,1,-1,0,0,0,0,0,1,-1,1,-1,0,0,0,0,0,0,3,3,1,5,1,1,2,2,-0.17,-0.33,0,-1,1.5,1,21,4,142.199,1.5
82,4,1,0,1,5,3,0,1,5,6,1,4,4,2,4,1,1,0,0,1,0,1,0,0,0,-1,-1,1,0,1,-1,1,-1,-1,1,0,0,0,-1,2,1,4,2,0,3,4,4,0.33,-0.5,1,0.25,2.75,2,27,3,68.797,1
83,1,1,0,3,4,5,1,2,0,1,3,4,5,3,4,0,0,1,1,0,1,0,-3,3,2,1,0,0,0,-1,1,0,0,-3,3,0,-3,3,0,3,4,3,3,2,3,4,5,1.33,0.83,0,0.75,3.5,2,43,6,102.025,2
84,1,3,1,3,6,3,0,0,0,4,0,2,1,1,1,1,0,0,1,0,0,0,1,-1,0,1,0,0,-1,-1,1,0,0,0,0,-1,-1,1,0,2,2,3,3,1,1,3,3,-0.17,0.17,0.5,0.25,2,1,28,4,216.108,1.5
85,4,1,0,1,1,3,0,3,5,5,3,2,2,3,1,0,0,0,0,0,0,-1,0,0,-1,0,-1,1,0,0,0,0,0,0,0,0,-2,2,0,2,2,3,3,0,0,1,1,0.17,0,0,0,0.5,2,28,3,102.378,1.25
86,4,1,0,1,4,4,3,1,5,1,2,3,4,2,1,-1,0,1,0,1,1,1,0,0,-1,0,1,-1,0,-1,1,0,0,-1,1,0,1,-1,0,3,4,2,4,3,2,3,4,-0.33,0.33,-0.5,0.75,3,2,22,1,84.443,1.25
87,3,3,1,3,3,6,3,2,1,5,4,5,5,3,5,2,2,1,1,2,2,2,-2,2,2,2,-2,2,2,-2,2,-2,2,-2,2,2,-3,3,2,5,5,1,5,4,5,5,5,2.17,2,2,1.5,4.75,1,29,5,32.381,1.5
88,3,3,1,0,5,6,0,2,6,6,1,4,5,6,5,0,1,0,0,0,0,-1,0,0,0,2,-1,1,1,0,0,0,0,0,0,0,0,0,1,2,5,1,5,0,5,5,5,0,0.67,0.5,0,3.75,2,45,6,64.1,1.75
89,2,3,0,5,5,5,0,1,0,0,2,3,3,6,2,0,0,0,0,0,0,0,-3,3,-1,-2,0,0,0,0,0,-2,2,-2,2,1,-3,3,0,0,1,3,3,0,0,5,1,1,0.33,0,0,1.5,2,56,1,207.532,1.25
90,1,1,0,3,3,3,0,2,0,6,4,4,4,2,3,0,0,1,2,0,-1,-1,-2,2,2,1,-3,3,-1,-2,2,2,-2,-1,1,1,-1,1,-1,2,4,2,4,2,4,3,3,1.33,0,0,0.5,3,1,25,6,66.527,1.5
91,2,1,1,2,4,3,4,5,0,6,0,6,6,0,5,0,0,0,1,0,1,2,-3,3,2,2,-3,3,1,-3,3,-2,2,-3,3,2,-3,3,3,3,4,2,4,0,0,6,6,2.5,2.33,0,0.5,3,1,38,6,69.642,1.25
92,2,1,0,4,4,2,5,0,1,0,0,3,4,4,5,1,-1,0,0,1,1,0,1,-1,2,2,1,-1,2,0,0,1,-1,1,-1,2,2,-2,0,4,3,5,1,3,4,4,3,0,0.33,0,0.5,3.5,2,19,4,151.076,1.5
93,1,3,1,1,5,3,2,1,5,6,0,3,6,4,6,1,-1,-1,0,0,0,-2,0,0,0,-1,1,-1,2,1,-1,-2,2,-2,2,1,0,0,2,5,5,1,5,1,4,5,6,-0.33,1,0,-0.25,4,1,59,5,101.514,2
94,4,2,1,3,4,2,4,1,1,1,1,0,1,3,3,0,0,0,0,0,0,-3,-2,2,-1,0,3,-3,0,0,0,0,0,1,-1,-2,0,0,0,0,1,4,2,0,0,2,1,-1.17,-0.17,0,0,0.75,1,33,1,18.235,1.75
95,3,1,1,5,5,4,5,5,6,3,4,5,4,5,3,2,2,1,1,0,0,2,2,-2,1,1,2,-2,1,1,-1,3,-3,1,-1,1,2,-2,2,5,4,5,1,5,6,4,4,-0.33,-0.17,2,0.5,4.75,1,23,5,7.208,0
96,2,3,1,2,3,3,0,0,2,6,0,1,1,3,2,0,0,0,-1,-1,-2,-2,0,0,-1,0,1,-1,0,1,-1,-1,1,1,-1,0,0,0,0,2,1,5,1,1,0,1,2,-0.67,-0.17,0,-1,1,2,19,2,205.448,1.75
97,2,4,1,0,6,3,0,1,5,6,0,5,6,4,5,0,0,0,0,0,0,0,0,0,1,1,-1,1,1,-1,1,-1,1,0,0,0,0,0,1,4,6,0,6,0,3,1,3,0.33,0.83,0,0,1.75,2,31,6,153.214,1.5
98,4,3,1,2,5,3,0,1,2,4,0,6,5,3,3,0,2,-1,3,0,1,0,-1,1,1,2,-2,2,0,-2,2,-1,1,-3,3,1,1,-1,0,2,4,2,4,0,2,4,4,0.67,1.33,1,0.75,2.5,1,34,6,121.338,1.5
99,4,1,0,1,6,3,0,0,1,6,0,6,6,3,6,0,0,2,2,2,2,1,-2,2,2,1,-1,1,0,-1,1,0,0,-1,1,1,-2,2,2,3,5,1,5,0,4,5,5,1.5,0.83,0,2,3.5,1,45,6,30.92,1.75
100,3,2,0,1,4,4,1,3,4,3,0,2,2,3,2,1,1,-1,0,-1,-1,-1,2,-2,-1,0,1,-1,2,1,-1,-2,2,1,-1,-1,-2,2,0,1,2,5,1,1,1,2,2,-0.67,0.33,1,-0.75,1.5,1,47,4,16.218,2
101,4,1,0,1,2,3,0,0,0,6,0,2,1,3,1,0,0,0,0,0,-1,-2,0,0,-2,-2,-1,1,0,0,0,0,0,0,0,0,0,0,0,1,2,4,2,0,0,0,0,-0.5,-0.33,0,-0.25,0,2,31,1,75.885,1
102,4,3,1,2,4,2,6,0,0,5,0,5,5,3,5,0,0,0,0,0,0,0,-2,2,2,2,-2,2,1,-2,2,-2,2,-2,2,3,-3,3,2,5,5,1,5,0,4,6,6,2,1.83,0,0,4,1,32,6,145.434,1.75
103,4,4,1,1,5,4,0,3,4,3,1,5,5,4,6,0,-1,1,-1,0,1,-1,-2,2,0,2,1,-1,-1,0,0,-1,1,-2,2,0,-2,2,1,4,4,2,4,0,3,4,5,0.33,0.83,-0.5,0.25,3,1,49,5,48.928,2
104,4,3,0,6,4,2,6,0,0,0,2,3,2,1,3,0,0,0,0,0,-2,0,-1,1,0,-3,0,0,0,0,0,2,-2,0,0,0,-1,1,0,0,3,3,3,0,0,0,3,0.33,-0.83,0,-0.5,0.75,2,42,5,76.696,1.75
105,2,3,1,0,6,4,0,0,6,4,1,6,6,5,5,3,3,3,3,2,3,3,-3,3,3,3,-3,3,2,-3,3,-3,3,-3,3,3,-3,3,2,6,6,0,6,4,6,6,6,3,2.67,3,2.75,5.5,2,59,6,188.31,1.5
106,2,3,1,2,4,3,3,2,1,6,0,4,6,2,5,1,-1,-1,2,3,3,1,-2,2,2,2,-2,2,1,-3,3,-3,3,-3,3,3,-2,2,2,1,5,0,6,0,3,5,5,2,2.33,0,1.75,3.25,1,20,5,108.313,1.75
107,4,3,0,5,5,6,1,1,0,0,2,5,4,4,4,0,0,0,0,0,0,-1,-2,2,0,-2,-2,2,1,1,-1,-1,1,-1,1,2,-2,2,0,1,2,4,2,0,0,2,1,1.17,0,0,0,0.75,2,46,4,62.327,1
108,4,2,0,2,5,3,0,0,0,6,0,1,1,3,2,-1,1,-2,-2,-2,0,-1,1,-1,-2,-2,1,-1,1,0,0,-2,2,-2,2,1,1,-1,1,4,2,5,1,1,2,4,2,-0.83,0.67,0,-1.5,2.25,2,23,5,3.245,1.25
109,1,3,1,0,6,4,0,2,6,5,0,5,4,5,4,0,0,1,1,0,1,2,-1,1,1,2,-2,2,0,0,0,0,0,-1,1,1,-2,2,0,4,4,1,5,0,2,5,3,1.5,0.5,0,0.75,2.5,1,24,5,179.399,1.5
110,2,1,0,2,4,3,0,3,0,6,2,2,3,2,3,2,2,2,1,2,1,-1,-3,3,-1,-1,0,0,-1,1,-1,1,-1,0,0,2,-3,3,0,0,2,3,3,0,1,2,2,1,-0.67,2,1.5,1.25,1,19,5,116.657,1
111,2,1,0,2,3,6,0,3,3,4,1,6,6,3,4,0,0,1,2,2,2,1,-1,1,2,1,-1,1,0,-1,1,1,-1,-1,1,1,-1,1,0,3,4,2,4,3,4,5,6,1.17,0.33,0,1.75,4.5,2,25,6,144.199,2
112,2,2,1,0,6,3,6,0,0,6,0,6,4,3,6,1,-3,3,3,3,3,0,0,0,3,3,0,0,0,0,0,0,0,-3,3,3,0,0,0,0,6,0,6,0,6,4,4,1,1,-1,3,3.5,1,22,6,66.121,1.5
113,3,3,1,4,4,3,0,1,0,5,2,5,6,4,5,-1,1,2,2,3,1,1,-3,3,1,2,-2,2,2,-3,3,-3,3,-3,3,2,-3,3,3,4,6,0,6,3,4,5,6,2,2.67,0,2,4.5,1,25,6,73.333,2
114,1,3,0,4,5,2,4,3,0,2,3,5,5,4,5,1,2,0,1,0,1,1,-1,1,1,0,-2,2,2,-1,1,-2,2,-2,2,1,-2,2,1,2,4,2,4,1,3,5,4,1.33,1.33,1.5,0.5,3.25,1,34,5,228.435,1.75
115,4,3,1,2,5,3,0,2,1,5,0,6,6,4,5,0,0,0,0,0,0,1,-1,1,1,1,0,0,0,-1,1,-1,1,-1,1,0,0,0,0,6,6,0,6,0,6,6,5,0.5,0.67,0,0,4.25,1,26,6,73.626,1.5
116,2,1,0,0,6,3,0,3,3,6,0,6,6,4,6,0,0,1,1,1,1,0,-3,3,2,2,-3,3,2,-3,3,-3,3,-3,3,0,-3,3,2,4,6,0,6,0,6,6,6,1.83,2.5,0,1,4.5,2,58,6,76.069,2
117,2,3,1,0,6,3,0,0,4,6,0,4,5,6,5,3,2,2,3,3,2,2,-3,3,2,3,-2,2,2,3,-3,-3,3,-3,3,3,-3,3,3,5,6,0,6,5,6,5,5,2.5,1.83,2.5,2.5,5.25,1,35,6,231.023,1.5
118,3,3,1,4,4,2,5,1,3,4,1,4,6,5,5,2,2,1,2,3,2,1,0,0,2,2,-1,1,0,0,0,-2,2,-3,3,2,-3,3,2,4,5,1,5,3,4,5,5,1.5,1.5,2,2,4.25,1,25,4,133.817,1.75
119,1,4,0,2,4,3,1,2,3,6,1,3,3,4,3,1,1,2,1,2,1,1,-1,1,1,0,0,0,1,0,0,-1,1,-1,1,1,-2,2,1,2,3,3,3,2,1,2,2,1,0.67,1,1.5,1.75,1,28,5,92.45,1.5
120,3,4,0,2,4,3,2,0,3,6,0,2,4,3,4,0,0,0,0,-1,-1,-1,0,0,0,0,-1,1,0,0,0,0,0,0,0,0,0,0,1,3,4,2,4,0,2,4,3,0,0.17,0,-0.5,2.25,1,30,4,34.757,1.5
121,4,1,0,0,6,3,0,0,4,6,0,6,4,2,5,3,2,2,3,3,3,2,-3,3,3,3,-3,3,2,2,-2,-3,3,-3,3,3,-3,3,3,2,2,5,1,4,3,4,4,2.83,2,2.5,2.75,3.75,2,42,6,43.212,1.25
122,1,4,0,2,5,3,1,2,3,5,0,3,3,2,5,0,0,0,0,0,0,0,-2,2,1,1,0,0,0,0,0,0,0,0,0,1,-2,2,0,3,5,1,5,0,0,3,5,1,0.17,0,0,2,1,35,6,96.701,1.5
123,1,3,1,1,5,4,0,1,5,4,3,5,5,4,5,1,1,1,1,1,1,1,1,-1,1,1,-1,1,1,-1,1,-2,2,-2,2,2,-2,2,2,5,5,0,6,4,4,3,4,1,1.5,1,1,3.75,1,43,5,841.184,1.25
124,3,1,0,1,4,3,0,2,1,5,2,2,2,1,2,0,1,1,1,-2,-1,-2,1,-1,-2,-2,2,-2,-1,1,-1,1,-1,0,0,-1,0,0,-2,2,2,4,2,1,2,3,1,-1.33,-1.17,0.5,-0.25,1.75,2,21,4,55.746,1.5
125,1,1,1,1,5,3,1,4,2,6,1,4,5,3,4,-1,0,0,1,1,1,1,-1,1,1,1,0,0,-1,0,0,1,-1,-1,1,0,-1,1,-1,2,4,1,5,1,3,4,5,0.67,-0.17,-0.5,0.75,3.25,1,23,5,142.412,1.5
126,4,1,0,3,6,6,0,3,3,3,3,4,5,3,3,0,0,0,1,1,1,1,-2,2,1,1,0,0,1,-2,2,-3,3,-3,3,2,-3,3,1,0,4,1,5,0,2,5,5,1.5,1.83,0,0.75,3,1,25,6,107.351,1.5
127,2,3,0,4,5,2,5,3,1,3,4,4,3,3,2,-1,-1,2,2,3,2,1,-1,1,2,2,0,0,-1,-1,1,0,0,-1,1,1,-1,1,0,3,3,4,2,0,2,5,4,1,0.5,-1,2.25,2.75,1,24,3,179.147,1.5
128,3,1,0,5,5,6,0,1,0,0,1,3,4,4,4,0,0,1,1,1,1,-1,-3,3,1,1,1,-1,0,-1,1,-2,2,-2,2,1,-3,3,1,3,3,3,3,2,3,4,5,1,1.17,0,1,3.5,2,67,5,98.336,2
129,1,3,1,1,3,3,0,4,1,6,4,4,3,3,2,0,0,1,-1,-1,1,1,-2,2,2,2,-2,2,-1,0,0,0,0,1,-1,1,-2,2,-1,3,2,4,2,0,1,4,5,1.67,-0.17,0,0,2.5,2,22,4,198.623,1.75
130,3,3,1,3,5,3,3,1,4,5,4,4,5,4,4,0,0,0,0,0,0,0,-1,1,0,1,-1,1,1,-1,1,-1,1,-1,1,0,-2,2,0,4,4,1,5,0,1,2,4,0.67,0.83,0,0,1.75,1,44,4,48.355,1.75
131,2,3,0,3,3,4,0,4,4,3,1,5,4,5,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,0,-1,1,0,2,3,3,3,0,0,4,2,0.17,0.5,0,0,1.5,1,47,5,199.415,1.5
132,4,1,0,0,6,4,0,0,6,6,0,4,4,4,4,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,3,0,0,0,1,3,2,4,0,0,5,2,0.67,0,0,0,1.75,1,22,3,113.844,1.5
133,3,1,0,4,3,6,2,0,0,2,2,4,4,3,3,0,0,1,1,0,0,0,-1,1,1,0,0,0,1,-1,1,-1,1,-1,1,1,-2,2,0,2,4,2,4,0,2,3,4,0.83,0.67,0,0.5,2.25,1,50,4,25.194,1.25
134,2,1,0,2,4,3,0,2,4,5,1,2,4,3,3,1,1,0,-1,-2,-1,-2,1,-1,-1,0,2,-2,-1,0,0,1,-1,2,-2,-1,0,0,0,2,3,3,3,0,0,1,2,-1.17,-0.67,1,-1,0.75,1,30,4,75.088,1.5
135,3,3,1,0,3,3,0,1,4,5,0,4,4,6,5,1,1,0,0,0,1,0,0,0,0,2,-1,1,2,-2,2,-3,3,-3,3,1,-2,2,1,4,5,0,6,0,3,4,5,0.67,2.17,1,0.25,3,2,23,5,38.488,1.5
136,4,4,0,6,6,5,0,0,0,2,6,0,3,1,2,0,0,-2,-3,-3,-3,-3,2,-2,-3,-3,3,-3,1,3,-3,3,-3,3,-3,-2,-3,3,0,0,0,6,0,0,0,0,0,-1.67,-1.83,0,-2.75,0,2,43,0,15.96,2
137,2,2,0,0,5,4,0,2,5,5,0,4,3,5,3,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,3,3,0,0,4,1,0.33,0.17,0,0,1.25,1,21,5,54.174,1.5
138,2,1,0,6,6,2,6,0,0,2,0,6,6,4,5,0,0,2,0,1,0,1,-2,2,1,1,-2,2,-1,0,0,1,-1,0,0,1,-2,2,0,0,4,0,6,0,4,6,5,1.5,-0.17,0,0.75,3.75,2,52,6,120.636,1.25
139,1,1,0,2,4,6,0,2,4,4,3,2,5,2,3,-1,1,-1,-1,2,2,0,-3,3,1,-1,1,-1,-2,0,0,-1,1,-1,1,3,-3,3,-1,0,2,4,2,0,3,3,3,1.5,-0.33,0,0.5,2.25,2,24,3,121.32,0
140,4,2,0,2,3,3,0,1,0,4,0,1,1,2,1,0,0,0,0,0,-2,-1,1,-1,-2,-1,1,-1,-1,1,-1,1,-1,1,-1,-1,-2,2,-1,2,2,4,2,0,0,0,2,-0.67,-1,0,-0.5,0.5,1,25,1,2.523,2
141,3,2,0,4,6,1,3,6,0,3,0,3,2,4,3,0,0,0,0,0,0,0,0,0,0,3,0,0,0,0,0,-3,3,-3,3,0,-3,3,0,0,3,0,6,0,0,3,3,0.5,1.5,0,0,1.5,1,26,5,29.366,1.25
142,4,1,0,5,4,2,5,2,3,4,4,4,5,5,6,0,0,-1,2,2,1,1,-2,2,2,1,2,-2,1,-1,1,-1,1,-2,2,2,-2,2,1,4,5,1,5,1,4,6,4,1.17,1.17,0,1,3.75,1,41,4,78.811,1.5
143,3,4,0,0,6,3,3,1,2,5,0,0,2,5,2,2,0,-2,-2,0,-3,-2,-1,1,-2,0,3,-3,1,3,-3,-2,2,3,-3,-1,0,0,1,3,1,5,1,0,0,2,1,-1.17,-0.33,1,-1.75,0.75,1,32,5,20.446,1.75
144,4,3,1,5,5,3,0,2,2,6,0,6,6,2,6,3,3,3,3,3,3,3,-2,2,3,3,-2,2,2,-2,2,-2,2,-2,2,3,-2,2,1,4,6,0,6,0,6,4,6,2.5,2,3,3,4,2,29,6,63.357,1.5
145,3,3,0,3,3,6,3,3,3,3,3,5,6,4,5,2,3,3,3,3,3,3,-3,3,3,3,-3,3,2,-3,3,-3,3,-3,3,3,-3,3,3,2,6,0,6,0,1,5,6,3,2.83,2.5,3,3,2,32,6,192.811,1.5
146,1,3,0,5,5,5,5,3,0,0,6,6,6,5,6,-1,-3,2,2,1,3,0,1,-1,2,1,-3,3,2,-3,3,-3,3,-3,3,0,-3,3,2,3,6,0,6,0,5,5,5,1.17,2.33,-2,2,3.75,2,56,6,101.749,1.5
147,1,1,0,2,5,3,0,2,3,6,0,4,4,5,3,2,2,0,1,0,2,-1,0,0,0,2,0,0,2,0,0,-2,2,-1,1,1,-3,3,2,1,4,2,4,0,3,5,2,0.5,1.5,2,0.75,2.5,1,37,4,113.017,2
148,2,3,1,3,4,3,3,3,0,5,0,5,5,4,5,0,1,1,1,1,0,0,-2,2,1,0,0,0,0,0,0,0,0,-1,1,3,-3,3,1,3,4,2,4,2,5,6,5,1.5,0.33,0.5,0.75,4.5,2,42,5,173.996,1.5
149,2,2,0,3,4,1,0,3,0,3,3,4,4,3,3,2,2,2,2,2,2,2,2,-2,2,2,2,-2,2,2,-2,2,-2,2,-2,2,2,-2,2,4,3,3,3,3,3,3,3,0,0,2,2,3,2,21,6,45.426,1.25
150,1,3,1,3,2,3,0,1,0,5,1,6,6,1,5,0,0,0,1,2,1,1,-3,3,3,2,-2,2,-2,-2,2,-2,2,-3,3,2,-3,3,1,5,5,1,5,0,5,5,5,2.33,1.33,0,1,3.75,2,24,6,172.783,1.75
151,3,1,0,3,3,6,3,3,3,3,3,4,4,3,3,1,1,0,-1,1,0,-1,0,0,1,0,0,0,0,1,-1,-1,1,0,0,-1,0,0,1,3,4,3,3,0,2,4,3,-0.17,0.17,1,0,2.25,2,53,3,139.978,1
152,2,3,1,1,2,3,0,2,0,5,0,5,5,3,6,0,0,1,1,2,2,2,-2,2,1,2,-2,2,1,-2,2,-1,1,-1,1,1,-3,3,1,4,6,0,6,0,4,4,6,1.83,1.33,0,1.5,3.5,1,21,6,197.211,1.5
153,1,3,1,1,5,4,0,2,5,5,1,4,3,2,3,0,0,1,-1,0,1,-1,-2,2,1,-1,1,-1,1,-1,1,0,0,0,0,2,-3,3,0,1,4,3,3,0,0,4,4,1,0.17,0,0.25,2,1,32,4,156.514,1.75
154,2,3,0,2,4,6,4,1,4,2,1,6,6,6,5,1,0,0,2,1,2,1,-3,3,2,2,-1,1,0,-3,3,-3,3,-3,3,2,-3,3,2,3,5,0,6,3,5,5,6,2,2.17,0.5,1.25,4.75,1,26,5,101.687,2
155,3,1,0,3,4,6,0,3,1,4,3,3,5,4,3,2,2,3,3,3,3,3,-3,3,2,2,-2,2,1,-2,2,-3,3,-3,3,2,-3,3,1,3,5,1,5,0,0,3,5,2.5,2,2,3,2,2,24,5,54.402,1.5
156,2,4,0,4,5,2,3,1,2,3,2,3,2,3,4,-1,-1,-2,-2,-1,0,-1,-2,2,0,-1,0,0,0,1,-1,1,-1,0,0,-2,0,0,0,3,4,3,3,3,2,4,4,-0.17,-0.5,-1,-1.25,3.25,1,34,3,103.508,0
157,1,1,1,4,3,1,5,6,0,5,0,4,5,4,4,1,1,1,1,1,1,-1,-1,1,1,1,0,0,0,0,0,-1,1,-1,1,1,-1,1,0,4,4,2,4,2,4,4,4,0.5,0.5,1,1,3.5,2,36,5,75.662,1.5
158,1,4,0,6,6,2,6,4,0,2,3,3,2,3,4,1,1,0,-1,-1,0,-1,1,-1,-2,-2,2,-2,1,0,0,-1,1,1,-1,-1,-2,2,1,1,2,3,3,0,0,1,0,-0.83,0,1,-0.5,0.25,1,50,5,102.55,1.75
159,4,1,1,6,6,1,0,6,0,3,4,6,6,3,6,0,0,1,1,1,1,1,-2,2,1,1,-2,2,1,-2,2,-3,3,-3,3,-3,-3,3,2,5,6,0,6,0,6,6,6,1,2,0,1,4.5,1,33,6,65.769,1.5
160,4,1,0,2,5,3,1,2,1,5,1,5,4,4,4,1,-2,-2,-1,1,2,2,1,-1,1,1,-1,1,2,2,-2,1,-1,2,-2,1,0,0,1,5,4,2,4,5,4,5,4,0.67,-0.17,-0.5,0,4.5,1,29,5,12.785,1.5
161,4,1,0,1,5,4,0,2,5,4,2,4,4,3,3,1,1,2,1,0,1,1,1,-1,1,0,-1,1,1,1,-1,0,0,-1,1,1,-1,1,1,2,4,2,4,1,1,3,4,0.67,0.33,1,1,2.25,1,24,5,20.954,1.5
162,4,3,1,1,6,3,1,2,3,6,0,6,6,5,6,1,0,0,1,1,2,0,-1,1,2,2,-2,2,2,-2,2,-2,2,-2,2,2,-2,2,2,4,5,1,5,0,6,6,6,1.5,2,0.5,1,4.5,1,45,6,50.652,1.5
163,2,1,1,5,4,1,1,6,0,4,3,5,6,4,5,0,0,0,1,1,1,0,-1,1,0,1,-2,2,1,-2,2,-2,2,-3,3,1,-3,3,0,6,6,0,6,6,6,4,5,1.17,1.5,0,0.75,5.25,1,30,6,152.311,1.5
164,3,3,1,1,5,3,0,0,1,6,0,3,3,3,4,0,0,0,0,0,0,1,-1,1,1,1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1,0,4,4,2,4,0,4,4,3,1,0.67,0,0,2.75,1,24,5,67.582,2
165,3,3,0,6,6,5,0,1,0,1,3,2,3,3,2,0,0,0,0,0,0,0,0,0,-1,-1,1,-1,0,1,-1,-1,1,0,0,0,-3,3,0,0,0,3,3,0,0,3,2,0.17,-0.17,0,0,1.25,1,25,6,61.919,1.75
166,2,1,0,1,4,3,0,0,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-3,-3,2,-2,-2,2,-2,2,-2,2,-2,2,0,0,-1,0,0,5,1,0,0,4,0,-0.5,-2,0,0,1,2,25,3,116.283,1.25
