participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
167,3,4,1,1,5,4,0,0,6,5,0,4,4,6,6,0,0,0,0,0,0,0,0,0,1,1,1,-1,1,-2,2,-2,2,-2,2,-2,0,0,1,4,4,0,6,0,3,3,3,-0.33,1.5,0,0,2.25,1,26,6,10.957,1.5
168,3,1,0,4,5,4,2,3,5,4,3,3,5,4,3,1,2,0,1,2,1,0,2,-2,1,1,2,-2,2,-1,1,0,0,2,-2,1,0,0,1,4,5,3,3,4,5,3,4,-0.33,0.5,1.5,1,4,1,38,5,53.115,1.75
169,1,3,0,3,4,5,0,3,2,3,5,5,5,4,4,0,0,1,0,0,1,0,-1,1,1,0,0,0,0,0,0,-1,1,-1,1,0,0,0,1,3,4,2,4,1,3,4,4,0.33,0.5,0,0.5,3,1,23,5,387.366,1.75
170,4,4,1,0,4,4,4,1,5,2,2,3,1,5,2,1,-1,3,1,1,2,1,-2,2,2,1,1,-1,1,3,-3,2,-2,1,-1,3,-2,2,1,2,3,2,4,2,1,2,3,1.5,-0.5,0,1.75,2,1,26,4,11.157,1.75
171,2,1,0,1,5,4,0,2,5,5,0,4,5,2,5,1,-1,1,0,0,1,0,-2,2,1,0,-1,1,2,1,-1,-3,3,-3,3,1,-3,3,3,3,4,2,4,0,3,3,4,1.33,1.67,0,0.5,2.5,2,45,6,67.349,2
172,1,1,0,0,6,3,0,2,3,6,0,6,6,0,5,0,0,2,2,2,2,2,-2,2,2,2,-2,2,0,-3,3,0,0,-3,3,3,-3,3,1,4,5,1,5,0,3,5,6,2.33,1.5,0,2,3.5,1,35,6,153.812,2
173,4,3,1,3,1,3,0,1,1,5,0,5,6,6,5,0,0,0,0,0,0,-1,-1,1,1,2,1,-1,1,-2,2,-3,3,-3,3,2,-3,3,1,4,5,0,6,3,4,6,6,0.83,2,0,0,4.75,1,57,6,76.992,1.5
174,4,3,0,1,5,4,0,0,6,3,0,5,5,6,5,0,0,0,0,0,0,0,-2,2,1,1,0,0,1,-2,2,-2,2,-2,2,2,-2,2,1,5,5,0,6,3,5,6,6,1.17,1.5,0,0,5,2,32,6,80.302,1.75
175,3,3,0,3,1,6,2,2,0,1,2,2,5,2,3,0,0,0,0,-2,0,-2,0,0,-1,-2,2,-2,-1,0,0,0,0,0,0,-1,0,0,1,1,4,2,4,0,0,2,1,-1,-0.33,0,-0.5,0.75,1,54,5,59.001,1.75
176,4,3,1,0,6,3,0,1,3,6,0,4,5,5,5,2,-2,1,2,2,2,-1,-3,3,3,3,-3,3,1,-2,2,-3,3,-3,3,3,-3,3,2,6,6,0,6,0,4,5,5,2.33,2.33,0,1.75,3.5,1,59,4,69.57,1.75
177,1,2,0,4,4,1,0,5,0,0,0,6,6,4,6,0,0,0,0,2,2,0,-1,1,2,2,0,0,0,-2,2,-1,1,-2,2,2,0,0,0,4,6,0,6,4,4,5,4,0.83,1.17,0,1,4.25,2,21,6,52.339,2
178,1,1,0,3,4,1,0,1,0,0,0,4,4,4,4,0,1,1,0,0,0,1,1,-1,0,0,0,0,1,0,0,0,0,1,-1,1,0,0,0,4,4,3,3,3,4,4,3,0.17,0,0.5,0.25,3.5,1,30,4,81.373,0.75
179,4,1,1,4,5,2,5,4,0,0,4,4,4,3,4,1,1,1,1,1,1,1,1,-1,2,1,-2,2,1,-2,2,-2,2,-2,2,2,-3,3,2,4,5,1,5,1,3,5,5,1.5,1.67,1,1,3.5,1,38,4,52.249,1.5
180,1,4,0,5,5,2,6,5,0,0,3,5,4,2,6,0,0,0,0,0,0,0,-1,1,0,0,0,0,0,0,0,-1,1,-1,1,1,-3,3,2,2,4,1,5,0,0,3,2,0.83,0.67,0,0,1.25,2,49,5,92.743,2
181,3,2,1,4,5,2,4,0,0,2,0,3,3,6,3,0,0,-1,0,-1,-1,-3,0,0,-2,-2,1,-1,-2,2,-2,-2,2,0,0,-1,0,0,-2,0,2,4,2,0,0,0,0,-1.17,-1,0,-0.75,0,2,59,6,59.907,1.75
182,2,1,1,4,4,3,5,4,3,5,4,0,1,1,2,0,0,-1,0,1,0,1,-1,1,0,0,1,-1,0,1,-1,2,-2,0,0,0,1,-1,-1,2,2,3,3,0,3,2,4,0,-0.67,0,0,2.25,1,26,4,129.132,1
183,2,3,1,0,3,3,0,0,2,5,0,5,5,3,5,0,0,0,0,0,0,0,-3,3,0,0,-3,3,0,-3,3,-3,3,-3,3,0,-3,3,0,6,5,0,6,0,4,4,6,1.5,1.5,0,0,3.5,2,23,5,103.498,1.5
184,1,3,0,4,4,2,6,4,2,1,0,5,5,5,4,1,2,2,3,1,1,2,-3,3,2,2,-1,1,-1,-1,1,-1,1,-2,2,3,-2,2,0,4,4,0,6,0,3,6,6,2.17,0.83,1.5,1.75,3.75,1,26,6,348.867,1.25
185,2,2,0,2,4,1,0,5,3,0,2,3,2,1,2,-1,1,-2,-1,0,1,0,-1,1,-1,2,3,-3,-3,-2,2,-1,1,1,-1,-1,-3,3,-2,0,2,4,2,0,2,3,4,-0.17,-0.17,0,-0.5,2.25,2,40,5,46.25,1.75
186,3,3,1,3,3,3,0,0,4,6,0,6,6,6,6,0,0,0,0,0,0,1,-3,3,1,3,-3,3,2,-3,3,-3,3,-3,3,3,-3,3,3,5,6,0,6,0,5,3,5,2.33,2.83,0,0,3.25,1,26,6,38.497,1.5
187,4,1,0,6,6,2,6,2,0,0,6,3,4,5,5,0,0,0,0,0,0,0,0,0,-1,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,2,3,2,4,0,1,3,1,-0.17,-0.33,0,0,1.25,1,65,5,30.271,1.5
188,2,3,0,4,4,2,5,1,0,1,4,6,6,5,5,1,1,1,1,1,1,2,-2,2,0,0,-1,1,0,-1,1,-1,1,-1,1,1,-2,2,1,2,4,2,4,1,3,3,2,1.33,0.67,1,1,2.25,1,32,6,200.338,1.5
189,3,3,0,5,5,2,6,0,0,0,1,3,5,5,4,0,0,0,0,0,0,0,-3,3,0,-1,2,-2,0,0,0,-3,3,-3,3,2,-3,3,0,4,5,2,4,0,0,2,4,1,0.83,0,0,1.5,2,50,4,105.71,1.75
190,1,3,0,5,5,5,5,5,0,1,5,3,3,2,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,1,2,3,3,0,0,0,0,2.25,1,54,5,178.774,1.5
191,2,4,0,1,5,3,1,1,1,5,1,5,5,4,5,1,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,4,4,1,5,0,1,4,4,0.17,0.17,0.5,0.25,2.25,1,24,5,107.582,1.75
192,2,1,1,3,5,1,0,4,1,2,2,5,6,2,5,0,0,2,3,1,1,0,-3,3,2,2,-2,2,1,-3,3,-3,3,-3,3,3,-3,3,2,5,6,0,6,0,5,5,6,2.17,2.33,0,1.75,4,1,63,5,146.968,1.75
193,3,3,0,4,4,6,4,4,0,2,1,3,3,4,1,2,1,-1,-1,1,1,0,1,-1,-2,-1,2,-2,1,1,-1,-2,2,1,-1,1,-2,2,1,1,1,5,1,0,0,4,1,-0.33,0.17,1.5,0,1.25,2,57,4,78.031,1.75
194,2,3,1,1,5,3,0,0,3,6,0,6,6,4,5,0,0,1,2,1,3,0,-3,3,2,3,-2,2,2,-3,3,-3,3,-3,3,2,-3,3,1,6,6,0,6,0,6,5,6,2,2.5,0,1.75,4.25,2,60,6,175.138,2
195,1,3,0,5,6,1,0,5,1,0,4,0,1,4,4,0,0,0,-1,-1,0,-1,1,-1,-2,0,2,-2,0,2,-2,0,0,1,-1,-1,0,0,0,2,3,3,3,0,0,0,0,-1.17,-0.5,0,-0.5,0,1,57,4,102.596,1.5
196,4,2,1,5,5,2,5,3,0,0,1,2,3,4,3,3,3,3,3,3,3,-2,0,0,0,1,0,0,0,-2,2,-3,3,-3,3,0,0,0,1,3,4,2,4,0,1,1,4,-0.33,1.67,3,3,1.5,2,57,4,16.577,2
197,1,3,1,3,5,6,1,3,4,4,2,2,3,4,3,1,1,0,0,0,0,-2,0,0,-1,-1,2,-2,1,-1,1,-2,2,-1,1,0,-1,1,1,3,4,2,4,1,2,3,4,-0.67,0.83,1,0,2.5,1,49,4,119.064,1.5
198,2,1,0,5,5,2,4,3,1,1,1,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,3,3,3,3,3,3,0,0,0,0,3,2,42,4,74.321,1.5
199,1,1,0,0,6,3,0,0,6,6,0,4,4,2,3,0,0,0,0,1,0,0,-1,1,1,0,0,0,0,0,0,0,0,0,0,3,-3,3,0,1,2,4,2,0,1,2,3,1.33,0,0,0.25,1.5,2,43,4,116.717,2
200,1,1,0,1,6,4,0,3,6,5,0,4,5,2,4,0,0,1,2,1,2,0,-2,2,2,1,-1,1,1,-2,2,-2,2,-3,3,3,-3,3,0,3,4,2,4,1,4,6,5,1.83,1.5,0,1.5,4,1,41,4,147.283,1.75
201,3,1,0,2,4,6,0,3,1,4,2,5,5,4,4,0,0,1,2,3,2,0,-3,3,2,2,0,0,1,-2,2,-3,3,-3,3,2,-3,3,1,5,5,1,5,3,4,5,5,1.67,2,0,2,4.25,2,30,5,102.12,2
202,4,1,0,3,1,6,3,1,1,3,1,4,5,4,3,-1,0,2,2,1,-1,-2,-1,1,1,0,1,-1,1,0,0,1,-1,0,0,0,-2,2,-1,2,3,3,3,0,0,5,4,0.17,-0.17,-0.5,1,2.25,1,31,5,67.034,1.5
203,2,3,1,0,6,4,0,2,6,6,1,4,5,4,4,0,0,0,0,0,0,0,0,0,0,1,-1,1,0,0,0,-1,1,-2,2,-2,-2,2,1,5,4,1,5,1,4,5,5,0.17,0.83,0,0,3.75,2,24,5,203.565,1.5
204,4,1,0,1,4,3,0,0,4,5,0,5,5,4,5,1,0,1,1,1,1,1,-2,2,1,1,-2,2,1,-2,2,-2,2,-2,2,2,-2,2,1,3,4,0,6,0,1,1,4,1.67,1.5,0.5,1,1.5,1,34,5,33.138,1.75
205,2,2,0,1,4,3,0,2,0,6,2,2,1,4,3,0,0,-1,0,-2,-1,-2,0,0,-1,-2,2,-2,0,0,0,0,0,0,0,0,0,0,0,2,3,4,2,1,0,0,1,-0.83,-0.33,0,-1,0.5,2,32,5,45.469,1.75
206,1,3,0,5,5,2,5,4,0,3,2,5,5,3,4,0,0,1,1,1,1,2,-2,2,2,1,-2,2,0,-1,1,-1,1,-2,2,2,-2,2,0,4,4,2,4,1,1,5,4,2,0.83,0,1,2.75,1,28,6,175.409,1.75
207,4,3,0,4,2,5,2,4,5,2,4,4,5,4,5,2,-1,1,3,0,1,1,-1,1,-1,1,0,0,1,-1,1,1,-1,1,-1,2,0,0,2,4,5,1,5,3,4,1,5,0.5,0.5,0.5,1.25,3.25,1,26,4,59.638,0
208,4,1,0,1,6,4,2,3,5,5,0,6,6,3,3,0,0,0,0,0,0,0,-1,1,2,2,-1,1,1,-3,3,-2,2,-3,3,3,-3,3,0,4,5,2,4,0,4,5,6,1.67,1.83,0,0,3.75,2,65,6,93.519,1.5
209,1,1,0,4,4,3,0,3,0,6,1,5,6,6,4,2,2,1,1,0,3,0,-2,2,3,3,-1,1,1,-2,2,-3,3,-3,3,2,-3,3,2,5,5,0,6,0,4,2,6,1.83,2.33,2,1.25,3,1,39,6,70.404,1.25
210,4,3,0,5,6,5,0,4,1,3,5,5,6,6,4,0,1,0,2,1,1,2,-3,3,3,2,-3,3,1,-3,3,-3,3,-3,3,2,-3,3,1,3,4,1,5,3,5,6,5,2.67,2.17,0.5,1,4.75,2,46,5,47.851,2
211,2,3,1,1,3,3,1,0,0,6,0,6,6,5,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,6,0,6,2,6,6,6,0,0,0,0,5,1,31,6,104.757,1.75
212,4,2,1,5,4,1,4,5,0,1,0,2,2,3,3,0,0,0,-2,-2,-2,-2,0,0,-1,-1,2,-2,0,0,0,-2,2,-2,2,0,-3,3,0,1,1,4,2,0,0,1,3,-0.33,0.5,0,-1.5,1,1,26,6,4.93,2
213,3,1,0,4,4,2,4,2,2,0,2,5,5,3,4,0,0,0,0,0,0,2,-1,1,2,1,-1,1,0,-1,1,-2,2,-2,2,2,-2,2,1,4,4,2,4,2,3,4,4,1.67,1.17,0,0,3.25,1,39,5,33.727,1.5
214,4,1,0,1,5,3,0,0,1,6,0,1,1,4,1,0,0,-1,0,0,-1,-1,1,-1,0,-2,1,-1,-1,1,-1,2,-2,1,-1,-1,0,0,-1,1,1,4,2,0,0,1,1,-0.67,-1.33,0,-0.5,0.5,2,37,1,67.954,1.75
215,3,1,1,2,4,5,4,4,4,2,3,4,5,2,4,1,0,1,0,2,0,1,-1,1,1,2,-1,1,2,0,0,1,-1,0,0,2,1,-1,2,4,5,3,3,3,5,1,4,0.83,0.83,0.5,0.75,3.25,1,28,3,10.191,0.5
216,1,1,0,0,6,3,0,1,4,5,0,4,3,0,2,0,0,0,0,0,0,0,0,0,0,-1,-1,1,0,0,0,0,0,0,0,0,0,0,0,3,2,4,2,0,0,2,4,0.17,-0.17,0,0,1.5,1,42,6,122.514,1.5
217,4,4,1,3,3,2,6,2,5,3,2,6,4,6,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,5,2,4,0,3,3,3,0,0,0,0,2.25,1,28,6,58.171,1.5
218,3,4,0,5,4,2,4,1,0,2,0,3,3,3,3,0,0,0,0,0,0,-1,1,-1,0,0,1,-1,0,1,-1,1,-1,1,-1,0,0,0,0,2,3,3,3,0,0,2,3,-0.5,-0.5,0,0,1.25,2,36,4,64.239,1.5
219,3,2,0,2,5,4,0,5,4,1,3,1,2,5,3,1,1,1,2,1,1,-2,0,0,-2,0,2,-2,-1,2,-2,1,-1,2,-2,-2,0,0,0,0,3,3,3,0,0,3,3,-1.33,-1,1,1.25,1.5,1,71,6,36.233,2
220,3,3,1,2,2,3,0,0,4,5,2,5,5,5,5,0,1,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,2,4,3,4,5,5,0,0,0.5,0.75,4.25,2,20,5,29.518,1
221,2,1,0,1,3,4,0,3,3,4,1,3,2,3,3,0,-1,1,0,0,1,1,-1,1,0,0,-1,1,0,-1,1,-1,1,0,0,0,-1,1,0,3,4,4,2,4,3,4,3,0.67,0.33,-0.5,0.5,3.5,1,33,3,153.8,1.25
222,2,3,1,0,6,3,0,1,4,6,0,6,6,2,6,0,0,1,0,1,0,2,-2,2,2,3,-2,2,3,-3,3,-2,2,-2,2,3,-3,3,3,5,6,0,6,1,6,5,5,2.33,2.67,0,0.5,4.25,2,28,6,174.24,1.5
223,4,1,0,1,4,3,1,3,5,6,0,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,5,0,1,3,4,0,0,0,0,2,1,36,5,19.824,1.75
224,3,3,0,5,5,2,5,1,0,0,5,1,2,3,3,1,1,-1,0,0,-2,-2,1,-1,-1,-1,0,0,1,-1,1,-1,1,-1,1,-3,0,0,0,0,1,5,1,0,0,2,0,-1.17,0.5,1,-0.75,0.5,2,21,4,121.723,1.75
225,3,1,0,0,6,3,0,1,4,6,0,0,1,5,2,0,0,0,0,0,0,-1,1,-1,-1,-1,0,0,0,1,-1,0,0,0,0,0,-1,1,0,0,1,4,2,0,0,0,1,-0.33,-0.33,0,0,0.25,1,53,0,113.256,1.5
226,3,3,0,3,5,2,5,2,0,0,1,0,5,6,1,3,-3,-3,0,-3,3,-3,3,-3,-3,-3,2,-2,3,3,-3,-1,1,3,-3,-2,3,-3,-2,0,1,5,1,0,0,4,0,-2.67,-1.17,0,-0.75,1,1,54,5,134.963,1
227,2,1,1,2,4,1,3,6,4,3,0,5,6,4,5,1,0,1,2,3,1,2,-2,2,3,2,-2,2,1,-2,2,-3,3,-2,2,2,-2,2,2,5,5,0,6,1,4,5,6,2.17,2,0.5,1.75,4,1,47,5,141.955,1.5
228,3,1,0,1,4,4,0,2,6,3,4,5,4,4,4,2,-1,2,1,2,2,2,2,-2,1,1,-1,1,2,2,-2,1,-1,2,-2,2,1,-1,2,5,5,1,5,4,5,4,5,0.5,0,0.5,1.75,4.5,2,24,5,65.885,1.5
229,4,1,0,4,4,2,3,1,0,0,0,5,5,3,3,0,0,0,1,1,1,0,-3,3,0,-1,0,0,0,0,0,-1,1,-3,3,0,-3,3,0,3,3,2,4,0,0,3,3,1,0.5,0,0.75,1.5,1,53,6,119.993,1.75
230,3,1,0,1,5,3,0,1,5,6,0,4,5,4,6,1,1,1,1,1,1,1,-1,1,2,1,0,0,1,-2,2,-2,2,-3,3,2,-3,3,2,3,6,0,6,0,3,2,4,1.5,1.83,1,1,2.25,2,28,6,41.671,1
231,3,3,1,2,4,3,1,4,0,6,2,5,6,5,4,1,2,0,1,-1,-1,0,-1,1,1,2,0,0,1,-1,1,0,0,-2,2,1,-3,3,0,4,4,1,5,0,0,3,6,1,1,1.5,-0.25,2.25,2,23,6,128.286,1.5
232,2,2,0,4,3,2,3,0,0,0,1,4,4,3,3,0,0,0,1,1,1,0,-1,1,1,1,0,0,0,-2,2,-2,2,-2,2,1,-3,3,-1,4,4,1,5,0,1,3,4,1,1,0,0.75,2,2,34,5,45.791,2
233,2,3,0,6,5,5,4,1,0,0,6,2,1,5,1,0,0,0,1,2,1,-2,1,-1,-2,-3,2,-2,1,1,-1,-1,1,0,0,-2,0,0,-1,0,1,5,1,0,0,3,1,-1.5,-0.5,0,1,1,1,30,1,198.01,1.25
234,3,3,1,2,5,3,1,3,2,5,2,5,5,4,5,2,1,2,2,2,2,2,-3,3,2,2,-3,3,2,-3,3,-3,3,-3,3,2,-3,3,2,5,5,0,6,0,5,5,5,2.5,2.5,1.5,2,3.75,1,35,5,15.251,1.5
235,1,4,0,2,4,3,0,1,3,4,1,3,5,4,5,3,3,3,2,2,3,-1,-2,2,2,2,0,0,3,-2,2,-3,3,-3,3,3,-3,3,3,4,5,1,5,1,4,3,6,1.5,2.67,3,2.5,3.5,2,37,5,194.272,1.25
236,4,3,0,3,0,6,3,0,2,0,0,2,2,4,0,0,0,0,0,0,0,-2,1,-1,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,5,1,0,0,3,3,-0.83,-0.17,0,0,1.5,2,36,6,64.418,1.5
237,2,3,1,3,4,3,0,3,0,5,3,4,4,3,4,0,0,0,0,0,0,0,-1,1,0,0,-1,1,0,0,0,-1,1,0,0,0,0,0,0,3,3,1,5,3,3,2,3,0.33,0.17,0,0,2.75,2,22,3,105.76,1.5
238,3,2,0,2,2,3,0,3,4,5,2,4,3,5,3,-1,2,-1,0,0,1,-2,1,-1,0,2,0,0,-2,1,-1,-1,1,-2,2,2,0,0,1,1,3,2,4,0,4,3,4,-0.17,0.5,0.5,0,2.75,1,39,6,42.718,1.75
239,2,1,0,2,2,3,1,3,1,4,2,4,5,2,3,0,0,0,1,1,0,0,-2,2,1,1,-1,1,0,-1,1,-2,2,-2,2,1,-2,2,0,1,3,3,3,1,2,5,4,1.17,1,0,0.5,3,2,32,5,114.465,1.5
240,2,1,0,0,4,3,0,0,0,5,0,2,3,2,4,0,-1,0,0,-1,0,-1,0,0,0,0,0,0,-1,-1,1,-1,1,0,0,-1,0,0,0,3,2,2,4,0,1,2,2,-0.33,0.17,-0.5,-0.25,1.25,2,27,3,66.88,1.5
241,1,1,0,0,6,3,0,1,5,6,0,3,3,1,3,0,0,0,0,0,0,-2,-2,2,2,0,-2,2,0,0,0,0,0,-3,3,3,-3,3,0,1,3,2,4,0,0,5,3,1.67,0.5,0,0,2,1,40,4,136.999,1.5
242,4,3,0,1,4,4,0,5,5,1,2,5,5,1,4,0,0,2,2,1,0,0,-1,1,2,0,-2,2,-1,-2,2,-2,2,-2,2,2,-2,2,0,2,4,2,4,0,3,4,4,1.5,0.83,0,1.25,2.75,1,3,5,23.796,1.25
243,3,4,0,4,4,6,0,0,0,3,3,0,0,3,2,0,0,0,0,0,0,-3,1,-1,-2,-2,2,-2,0,0,0,0,0,2,-2,-2,0,0,0,0,2,4,2,0,0,2,1,-1.67,-0.67,0,0,0.75,1,40,0,51.304,1.25
244,1,2,0,2,3,3,0,2,3,6,2,6,6,3,6,2,2,2,2,2,2,0,-3,3,0,1,-3,3,0,-3,3,-3,3,-3,3,1,-3,3,1,2,6,0,6,0,2,4,3,1.67,1.83,2,2,2.25,2,22,6,47.887,1.5
245,1,3,0,4,4,1,3,4,0,3,0,3,3,2,3,-1,-1,0,-1,-1,-1,0,-1,1,1,1,0,0,-1,0,0,2,-2,1,-1,0,-1,1,-1,3,3,2,4,0,0,3,3,0.5,-0.67,-1,-0.75,1.5,1,31,3,106.364,1.5
246,1,3,0,3,3,6,0,2,2,3,0,5,5,4,5,0,0,0,0,0,0,2,2,-2,1,1,-2,2,2,2,-2,-2,2,1,-1,0,-1,1,0,4,4,1,5,1,1,4,3,0.67,0.33,0,0,2.25,2,36,6,195.586,1.25
247,4,4,0,1,4,3,0,0,1,4,0,3,4,5,6,0,0,0,0,-1,1,-1,0,0,-1,2,-1,1,3,1,-1,-2,2,-2,2,-3,-3,3,2,4,5,0,6,0,0,4,5,-0.17,1.67,0,0,2.25,2,30,6,15.39,1.75
248,3,2,0,2,4,3,0,1,4,6,2,4,4,4,3,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,1,-1,0,0,1,-1,0,0,0,0,5,4,3,3,0,0,1,3,-0.17,-0.17,0,0,1,2,36,4,35.375,1.25
249,3,1,0,1,5,3,0,1,4,5,0,1,1,4,3,0,0,-1,0,-1,-1,-1,0,0,-1,0,1,-1,0,1,-1,0,0,1,-1,-1,-2,2,0,0,2,5,1,0,1,2,1,-0.33,-0.33,0,-0.75,1,1,66,4,64.104,1.5
250,4,1,0,5,5,5,2,3,0,2,4,2,4,4,4,0,0,0,0,0,0,-1,0,0,1,0,-1,1,0,0,0,0,0,0,0,0,0,0,0,3,4,2,4,2,2,4,4,0.17,0,0,0,3,2,44,5,41.877,1.5
251,4,3,1,1,5,3,0,3,1,6,0,5,4,6,4,0,0,-1,-1,0,-1,0,0,0,0,0,0,0,0,-1,1,-1,1,-1,1,0,-1,1,0,4,3,1,5,0,1,1,6,0.17,0.5,0,-0.75,2,2,23,6,31.457,1.75
252,1,3,0,5,5,2,6,4,0,0,0,6,6,5,6,2,2,2,3,3,3,2,-3,3,3,3,-3,3,2,-3,3,-3,3,-3,3,3,-2,2,3,4,6,1,5,0,5,5,6,2.67,2.83,2,2.75,4,2,59,6,190.591,1.75
253,2,3,0,3,4,2,5,2,2,3,2,6,5,4,5,0,1,2,2,2,2,1,-2,2,1,2,-2,2,1,-1,1,-2,2,-2,2,2,-2,2,1,3,4,1,5,1,3,5,5,1.67,1.5,0.5,2,3.5,2,29,5,201.336,1.5
254,4,2,0,2,5,4,0,0,4,3,0,0,0,6,1,0,0,-1,0,-1,-2,-3,2,-2,-2,-2,3,-3,0,1,-1,0,0,0,0,0,0,0,0,1,1,5,1,0,0,3,1,-1.67,-0.5,0,-1,1,2,32,6,6.292,2
