participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
255,2,2,1,4,4,2,4,3,3,3,3,1,1,1,1,1,-1,-2,-2,-2,-2,-2,2,-2,-2,1,2,-2,-2,2,-2,0,0,1,-1,-2,1,-1,-2,0,0,4,2,0,0,0,0,-1.83,-1,0,-2,0,1,25,5,50.661,1.5
256,1,4,0,3,5,2,5,5,0,2,0,2,1,5,3,0,0,-1,0,-1,-1,-1,0,0,-1,-1,0,0,0,1,-1,-1,1,0,0,0,0,0,0,1,3,3,3,0,0,1,1,-0.33,-0.17,0,-0.75,0.5,1,46,3,101.392,2
257,2,1,0,0,6,4,0,0,6,3,0,2,2,0,2,0,0,0,-1,-1,0,-3,1,-1,0,-2,2,-2,-2,2,-2,0,0,-1,1,-1,-1,1,0,0,2,4,2,0,0,3,2,-1,-0.83,0,-0.5,1.25,2,42,3,75.737,1.75
258,1,3,1,1,3,3,0,0,0,6,0,5,6,6,6,1,2,0,2,1,1,3,-3,3,1,2,0,0,3,-3,3,0,0,-2,2,3,-3,3,3,4,6,0,6,0,4,6,6,2.17,2.17,1.5,1,4,1,26,6,191.767,1.5
259,2,1,0,3,6,6,1,2,0,2,0,4,5,1,3,-1,-2,-1,0,0,0,0,-1,1,1,0,-2,2,0,1,-1,1,-1,0,0,2,1,-1,-1,0,3,3,3,0,1,4,4,0.83,-0.5,-1.5,-0.25,2.25,1,54,4,150.62,1
260,2,1,0,3,4,3,1,1,0,6,0,4,4,2,3,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,0,6,0,0,4,4,0.17,0.17,0,0,2,1,24,4,119.373,1.5
261,1,1,0,4,4,5,2,3,1,3,4,4,4,3,4,0,0,0,0,0,0,0,-2,2,1,1,0,0,-1,-1,1,0,0,-1,1,0,-3,3,0,3,4,4,2,1,2,3,5,1,0.33,0,0,2.75,2,35,5,113.439,1.5
262,3,4,0,6,4,6,1,3,0,1,3,1,1,0,1,0,0,0,0,0,0,-1,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,2,0,0,0,0,-0.33,0,0,0,0,2,32,3,47.936,1.5
263,3,3,0,2,3,6,0,1,4,3,1,3,5,4,5,0,0,0,0,0,0,-1,0,0,2,1,-1,1,1,0,0,0,0,0,0,1,-3,3,1,3,5,0,6,3,4,5,5,1,0.5,0,0,4.25,2,55,6,42.087,1.75
264,3,1,1,1,6,3,0,5,0,6,0,6,4,4,5,0,0,0,0,0,0,0,0,0,0,0,-2,2,-1,1,-1,0,0,0,0,0,-2,2,2,4,5,1,5,1,3,4,5,0.67,0,0,0,3.25,1,33,6,30.311,1.5
265,3,3,0,3,6,2,6,1,0,1,1,2,5,5,4,0,0,0,0,0,0,-1,0,0,-1,1,0,0,1,-2,2,-2,2,-2,2,2,-3,3,2,1,2,4,2,0,0,4,2,0.5,1.67,0,0,1.5,2,53,4,110.976,0.75
266,1,3,0,3,4,6,0,1,1,1,0,4,5,4,3,0,0,1,1,1,0,1,-1,1,1,0,-1,1,0,0,0,-1,1,-1,1,1,-1,1,0,3,3,3,3,1,1,5,4,1,0.33,0,0.75,2.75,2,30,6,174.09,1.5
267,1,1,0,3,5,3,1,2,1,5,1,3,2,1,4,-1,-1,1,0,0,0,-1,-2,2,1,0,0,0,-3,0,0,2,-2,0,0,1,-1,1,-1,2,3,3,3,0,1,2,3,0.67,-1,-1,0.25,1.5,1,29,5,70.289,1.75
268,4,3,0,4,4,5,4,3,0,0,6,1,1,5,2,0,0,-2,-1,-1,0,-3,1,-1,-2,-2,-2,2,-1,1,-1,-1,1,-3,3,-1,-3,3,-1,0,1,4,2,0,0,4,1,-0.33,-0.17,0,-1,1.25,1,60,5,66.765,1
269,4,1,0,1,5,4,0,3,5,4,0,6,6,1,5,2,0,3,2,2,3,2,-3,3,3,3,-3,3,1,-2,2,-3,3,-3,3,2,-3,3,3,3,4,0,6,1,4,3,4,2.67,2.5,1,2.5,3,1,26,5,25.869,1.25
270,2,4,0,1,6,3,1,4,2,6,0,2,6,5,5,3,2,0,1,1,0,-2,0,0,-1,1,-1,1,2,-1,1,-3,3,-3,3,1,-3,3,2,1,5,2,4,0,2,4,3,0.33,2,2.5,0.5,2.25,2,37,6,98.25,1.75
271,3,1,0,2,6,3,1,3,1,6,0,5,6,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,4,1,5,0,2,6,5,0,0,0,0,3.25,1,33,6,82.063,1
272,4,1,0,1,5,4,0,3,5,4,1,5,6,3,5,0,0,1,0,0,1,0,-1,1,1,1,-1,1,0,0,0,-1,1,-1,1,2,-2,2,0,4,5,0,6,1,5,5,6,1.17,0.5,0,0.5,4.25,2,26,6,53.699,2
273,2,3,1,4,5,4,0,1,6,5,1,6,6,5,5,1,0,-1,1,0,0,2,0,0,-1,0,1,-1,1,0,0,-1,1,1,-1,3,-3,3,3,5,4,1,5,5,4,1,3,1,0.67,0.5,0,3.25,1,27,6,181.033,0.75
274,1,3,0,0,6,4,0,2,6,0,0,6,6,6,6,0,0,0,0,0,0,-1,-3,3,2,0,-1,1,2,-3,3,-3,3,-3,3,2,-3,3,1,2,4,0,6,0,0,6,6,1.67,2,0,0,3,2,36,6,103.305,1.5
275,1,1,0,4,4,5,4,0,1,0,5,4,4,2,5,0,0,1,1,2,2,1,-3,3,2,2,0,0,1,-3,3,-3,3,-3,3,2,-3,3,2,4,5,2,4,0,2,4,4,1.83,2.33,0,1.5,2.5,1,38,5,150.375,1.5
276,2,2,0,1,5,3,0,0,2,5,0,1,2,5,1,0,0,-1,0,-1,-1,-1,2,-2,-2,-2,1,-1,-2,1,-1,-1,1,-3,3,-2,-3,3,-2,1,2,5,1,1,0,1,2,-0.83,-0.5,0,-0.75,1,2,39,5,50.296,1.5
277,1,2,0,1,5,4,0,2,5,3,0,5,4,4,5,0,0,-1,0,0,1,0,-2,2,0,0,0,0,1,-1,1,-2,2,-3,3,1,-3,3,0,4,5,3,3,1,2,4,3,1,1.17,0,0,2.5,1,43,5,49.595,2
278,2,3,0,4,1,6,3,5,2,1,5,4,3,3,3,0,0,0,0,0,0,0,-1,1,1,-1,0,0,0,0,0,0,0,-1,1,1,-2,2,1,2,4,3,3,1,2,2,2,0.83,0.17,0,0,1.75,2,25,5,177.316,1.5
279,2,1,0,3,4,6,4,3,5,1,1,5,5,5,6,1,-1,1,2,2,2,1,-2,2,2,1,-2,2,-2,-2,2,-2,2,-2,2,2,-2,2,2,4,5,2,4,0,1,4,5,1.83,1.17,0,1.75,2.5,2,30,4,154.539,1
280,4,3,0,2,4,6,0,0,4,3,0,5,5,3,4,1,1,1,1,2,1,1,-2,2,2,1,-2,2,0,-2,2,-2,2,-2,2,2,-3,3,1,4,5,1,5,1,3,3,4,2,1.33,1,1.25,2.75,1,32,5,57.349,1.75
281,4,1,0,6,6,2,5,1,0,0,4,3,4,2,3,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,-2,2,-2,2,0,0,0,-3,3,0,3,4,1,5,0,2,4,4,0.83,0.83,0,0,2.5,2,52,4,22.869,1.5
282,4,4,0,0,5,3,0,2,3,6,0,3,3,3,3,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,2,2,4,0,0,2,3,-0.17,0,0,0,1.25,2,25,4,11.806,1.25
283,2,3,0,5,5,2,5,0,0,1,0,3,3,1,3,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,1,1,1,5,0,0,1,2,-0.17,0.17,0,0,0.75,1,56,5,165.17,0.75
284,3,3,1,4,4,3,1,6,3,6,0,5,6,5,6,1,1,1,1,1,1,2,-2,2,2,2,-1,1,2,-2,2,-3,3,-3,3,2,-3,3,2,5,5,0,6,1,5,5,5,2,2.33,1,1,4,2,67,6,60.664,1.5
285,4,3,1,3,3,6,0,1,2,4,1,5,6,4,5,0,0,0,1,1,1,1,-1,1,1,1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1,0,3,5,1,5,2,4,5,5,1,0.67,0,0.75,4,2,24,6,44.415,1.5
286,3,3,1,2,4,4,1,3,5,4,0,4,3,3,4,1,1,2,1,2,2,1,-2,2,2,1,-2,2,1,-2,2,-2,2,-3,3,2,-3,3,1,3,4,1,5,0,3,4,5,2,1.67,1,1.75,3,2,32,4,55.716,1.5
287,1,3,1,2,4,3,0,2,3,5,2,6,6,4,5,1,1,1,1,1,1,2,-3,3,3,3,-3,3,2,-3,3,-3,3,-3,3,2,-3,3,1,4,5,0,6,0,3,5,5,2.67,2.5,1,1,3.25,2,40,6,192.606,1.5
288,2,3,1,0,5,3,0,0,4,6,0,6,6,4,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,6,0,6,0,6,5,6,0,0,0,0,4.25,2,21,6,144.915,1.5
289,3,4,1,1,5,3,0,1,5,6,0,3,2,5,3,0,0,0,0,0,0,-1,0,0,-1,-1,1,-1,0,1,-1,-1,1,0,0,0,-3,3,0,2,1,4,2,0,0,1,1,0,-0.17,0,0,0.5,1,62,3,53.72,1.75
290,1,3,1,1,5,4,1,2,6,4,2,4,4,4,5,0,0,0,0,0,0,-1,-1,1,-1,0,-1,1,0,-1,1,-1,1,-1,1,-1,-1,1,-1,1,4,2,4,0,2,6,3,0,0.33,0,0,2.75,2,60,6,102.67,1.5
291,4,2,1,4,4,2,4,4,0,1,2,2,2,3,2,0,0,0,0,0,-1,-1,0,0,0,-1,1,-1,0,0,0,1,-1,0,0,0,0,0,0,1,2,2,4,0,0,1,2,-0.33,-0.33,0,-0.25,0.75,1,45,3,11.291,2
292,4,1,0,3,2,6,4,0,3,0,3,3,3,3,5,-1,0,-2,1,0,1,1,-2,2,1,1,-2,2,2,-1,1,-1,1,-1,1,2,-2,2,1,4,4,4,2,1,4,3,3,1.67,1.17,-0.5,0,2.75,2,34,4,67.924,1.25
293,2,4,1,0,6,4,0,1,6,5,2,6,6,2,5,0,0,0,0,0,0,0,-3,3,1,2,0,0,1,-2,2,-3,3,-3,3,1,-3,3,1,5,5,1,5,0,5,5,5,1.33,2,0,0,3.75,2,47,6,95.213,1.25
294,4,3,1,0,6,3,0,0,4,5,0,3,4,4,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,1,5,0,2,4,5,0,0,0,0,2.75,1,30,5,70.249,1.5
295,1,4,0,1,4,3,0,2,2,5,1,4,6,5,5,1,-2,0,1,1,2,1,1,-1,2,2,-2,2,2,-2,2,-3,3,-3,3,2,-3,3,2,4,6,0,6,5,4,5,4,1.5,2.33,-0.5,1,4.5,2,25,6,109.73,1.5
296,1,1,0,0,6,4,0,0,6,6,0,4,5,2,4,0,0,0,0,0,0,0,-3,3,1,0,0,0,1,-2,2,-2,2,-2,2,3,-3,3,2,3,4,1,5,0,0,6,4,1.67,1.5,0,0,2.5,2,62,6,113.306,1.5
297,3,1,0,5,5,6,0,3,3,3,3,4,4,4,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,5,0,1,2,3,0,0,0,0,1.5,1,42,4,118.331,1.25
298,3,3,0,5,5,2,6,4,0,1,0,5,5,5,5,3,3,2,3,3,3,0,-2,2,0,0,-3,3,1,-3,3,-3,3,-3,3,2,-3,3,2,3,4,1,5,0,3,5,3,1.67,2,3,2.75,2.75,1,63,6,140.058,1.5
299,3,1,0,4,4,3,1,3,2,5,2,4,3,4,4,1,2,2,0,1,0,0,1,-1,1,1,0,0,1,1,-1,2,-2,-1,1,0,-2,2,1,4,5,3,3,3,4,4,3,0.33,0.17,1.5,0.75,3.5,2,58,4,68.271,1.25
300,2,1,0,0,6,3,0,2,4,6,0,5,5,3,4,2,-1,3,1,2,2,1,-2,2,2,1,-2,2,-1,-3,3,0,0,-1,1,1,-2,2,-1,3,4,1,5,2,3,4,4,1.67,0.5,0.5,2,3.25,1,33,5,134.333,1.5
301,1,1,1,1,2,4,1,4,5,4,3,6,6,4,5,0,0,3,3,3,3,2,-3,3,3,3,-3,3,1,0,0,-2,2,-2,2,3,-3,3,1,4,6,1,5,2,2,4,6,2.83,1.5,0,3,3.5,1,47,5,142.626,1.5
302,4,1,0,2,4,3,0,0,1,6,0,6,6,4,6,0,0,1,1,1,1,1,-1,1,3,3,-3,3,1,-3,3,-3,3,-3,3,3,-3,3,1,3,6,0,6,1,5,5,6,2.33,2.33,0,1,4.25,1,22,6,71.015,1.5
303,3,2,0,2,5,3,0,1,2,6,0,2,2,5,2,0,0,-1,0,0,0,-2,1,-1,-1,1,1,-1,-1,0,0,-2,2,0,0,1,-3,3,-1,1,2,5,1,0,2,2,1,-0.17,0.17,0,-0.25,1.25,1,67,5,26.643,1.75
304,1,1,1,3,3,6,0,5,3,1,2,4,5,4,4,1,1,2,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-3,3,-2,2,3,-3,3,3,3,4,1,5,3,4,4,4,1.67,1.83,1,1.25,3.75,1,25,5,154.883,1
305,4,1,0,6,6,2,6,0,0,0,0,1,2,5,1,0,0,0,0,0,0,0,0,0,-2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,0,5,3,-0.33,0,0,0,2,1,38,6,81.919,1.5
306,3,1,0,5,5,2,5,1,0,4,3,4,4,5,4,0,0,-1,1,1,1,-1,-1,1,0,0,-1,1,0,1,-1,0,0,1,-1,0,1,-1,0,2,2,3,3,4,4,5,4,0,-0.33,0,0.5,4.25,2,35,4,57.052,1.5
307,2,1,0,2,4,3,0,2,5,6,1,5,6,3,5,0,0,1,1,1,1,2,-3,3,2,1,-3,3,1,-2,2,-3,3,-3,3,2,-3,3,1,4,5,0,6,0,4,4,5,2.5,1.83,0,1,3.25,2,31,6,91.331,1.5
308,1,1,0,4,5,3,1,2,0,2,1,3,2,0,3,0,0,1,0,1,0,0,-3,3,1,0,0,0,-1,-1,1,-1,1,-2,2,1,-3,3,0,2,3,2,4,0,0,2,3,1.33,0.5,0,0.5,1.25,1,38,5,142.499,1.5
309,1,3,1,2,2,3,0,4,5,6,0,5,4,4,5,0,0,0,-1,0,0,1,-1,1,0,0,0,0,-1,0,0,1,-1,1,-1,0,0,0,-1,2,3,3,3,2,2,3,3,0.33,-0.67,0,-0.25,2.5,2,32,5,195.467,0.5
310,1,1,0,4,4,3,1,1,1,5,1,3,3,4,2,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,1,0,0,-1,1,4,2,4,0,3,3,4,0.33,0,0,0,2.5,1,34,5,117.05,1.5
311,3,4,1,2,5,4,0,0,5,1,0,3,3,6,3,0,0,-1,0,0,0,-1,0,0,0,-1,1,-1,2,0,0,0,0,0,0,0,0,0,1,2,4,2,4,0,2,4,3,-0.33,0.33,0,-0.25,2.25,1,52,4,53.011,2
312,1,4,1,5,5,2,5,2,4,4,2,0,4,4,0,2,0,-3,-3,-3,-2,-3,-1,1,-2,-3,-3,3,3,0,0,-3,3,0,0,1,3,-3,3,0,0,4,2,0,0,2,1,-0.5,1,1,-2.75,0.75,1,29,4,96.491,1.75
313,4,4,1,3,3,4,0,1,5,4,2,5,5,4,5,0,0,0,0,0,0,1,-2,2,1,1,-1,1,0,-1,1,-1,1,-1,1,1,-2,2,0,4,4,4,2,1,2,4,5,1.33,0.67,0,0,3,1,39,6,25.069,1.5
314,2,1,0,1,1,4,0,2,5,5,2,6,6,1,5,0,0,1,2,2,1,0,-2,2,3,1,-1,1,-1,-2,2,0,0,-2,2,3,-3,3,0,2,5,0,6,2,4,6,6,2,0.67,0,1.5,4.5,2,29,5,116.847,2
315,3,1,0,1,1,3,0,3,0,6,1,4,3,4,2,2,2,1,2,3,2,-1,1,-1,0,1,1,-1,0,2,-2,-2,2,0,0,2,0,0,0,2,4,3,3,4,4,6,4,-0.17,0.17,2,2,4.5,1,28,2,145.043,1.25
316,4,2,0,1,5,3,0,0,3,6,0,1,1,3,1,0,0,-2,-2,-2,-2,-2,1,-1,-2,-3,2,-2,0,0,0,-1,1,1,-1,-1,0,0,-1,1,1,4,2,0,0,2,1,-1.33,-0.67,0,-2,0.75,2,27,2,9.04,0.25
317,1,3,1,0,5,3,0,0,4,6,0,4,3,4,4,0,0,0,0,0,0,-1,-1,1,1,0,0,0,-1,-1,1,-1,1,1,-1,1,-2,2,0,4,4,1,5,2,2,4,5,0.67,0,0,0,3.25,2,26,5,102.99,1.5
318,4,1,0,4,4,5,3,2,0,1,4,2,3,3,4,0,0,0,0,0,0,0,-1,1,1,0,0,0,0,0,0,0,0,-1,1,0,0,0,0,4,3,3,3,0,2,3,5,0.33,0.17,0,0,2.5,2,50,5,39.803,1.5
319,3,3,0,3,4,3,0,0,1,2,0,4,3,5,4,1,1,-1,-1,-1,-2,-1,0,0,-1,-1,1,-1,1,0,0,-2,2,0,0,-1,0,0,1,4,4,2,4,0,0,2,3,-0.67,0.5,1,-1.25,1.25,2,44,4,70.478,2
320,2,4,1,2,2,3,0,1,4,6,1,2,2,5,4,2,2,-1,-2,-2,-2,-2,-3,3,-2,-1,2,-2,3,1,-1,-3,3,-3,3,3,-3,3,3,3,4,2,4,0,0,0,1,0.5,1.67,2,-1.75,0.25,2,25,6,96.436,1.75
321,2,3,1,2,2,3,0,3,0,5,2,3,4,4,4,1,2,-1,1,-1,-1,-1,0,0,-1,0,1,-1,1,-1,1,-3,3,-2,2,2,-2,2,1,1,4,2,4,0,1,4,3,0.17,1.33,1.5,-0.5,2,1,24,5,101.312,1.5
322,4,3,1,1,4,6,1,1,4,4,0,6,6,3,3,0,0,0,0,0,0,0,0,0,2,0,-1,1,0,0,0,0,0,-2,2,2,-3,3,0,3,3,3,3,0,1,3,5,1.33,0.33,0,0,2.25,1,34,6,56.217,2
323,2,2,0,1,2,3,0,1,0,5,0,3,3,3,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,-1,1,-1,0,-3,3,0,2,2,2,4,0,0,1,4,0.5,-0.33,0,0,1.25,2,25,4,52.808,1.5
324,3,2,0,0,5,6,0,3,5,5,0,4,3,1,0,3,-1,-1,-2,-3,-3,-3,3,-3,-1,-3,2,-2,-3,-1,1,-2,2,-2,2,-2,-3,3,-3,0,1,1,5,0,0,2,1,-1.33,-0.67,1,-2.25,0.75,2,20,4,27.018,2
325,1,3,1,0,6,4,1,2,5,5,0,4,4,4,4,0,0,0,0,0,0,1,-1,1,1,1,-1,1,0,-1,1,-1,1,-1,1,0,-2,2,0,4,4,1,5,0,3,4,4,1,0.67,0,0,2.75,2,23,5,186.133,1.25
326,4,1,0,3,5,3,0,1,1,6,0,4,4,3,3,0,0,0,0,1,1,-1,0,0,0,-1,1,-1,0,0,0,1,-1,0,0,0,0,0,0,1,3,3,3,0,0,4,3,-0.33,-0.33,0,0.5,1.75,1,37,5,72.538,1.5
327,2,3,0,2,4,6,0,2,5,1,3,6,6,5,5,0,0,0,2,0,1,1,0,0,1,2,0,0,1,0,0,0,0,0,0,0,0,0,1,4,6,2,4,1,4,6,6,0.33,0.67,0,0.75,4.25,2,29,6,175.537,1.75
328,4,1,0,3,3,3,0,3,1,3,0,5,5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,5,0,6,0,1,4,3,0,0,0,0,2,1,26,4,14.361,2
329,1,3,1,4,2,6,5,2,0,5,4,5,5,4,5,0,0,1,0,2,2,1,-1,1,2,2,-1,1,0,-1,1,0,0,-1,1,1,-2,2,0,4,4,0,6,1,3,5,5,1.33,0.67,0,1.25,3.5,1,35,6,173.654,1.75
330,3,2,0,3,5,3,0,4,0,6,2,0,0,5,1,0,0,-1,0,0,-2,-3,3,-3,-3,-2,2,-2,0,2,-2,0,0,2,-2,-3,0,0,0,0,0,6,0,0,0,2,0,-2.33,-1,0,-0.75,0.5,1,42,6,40.868,1.5
331,4,1,1,6,6,2,6,4,0,0,4,4,4,5,3,2,2,2,2,2,2,1,0,0,1,2,-1,1,0,0,0,-2,2,-2,2,2,-2,2,0,3,3,3,3,0,3,5,5,1.17,1,2,2,3.25,1,49,6,130.13,1.25
332,2,4,1,2,4,4,0,2,4,4,0,3,3,3,4,0,0,0,0,0,0,-1,-2,2,1,1,1,-1,0,-1,1,-1,1,-1,1,0,-2,2,1,2,3,3,3,0,3,4,3,0.5,0.83,0,0,2.5,1,38,5,91.803,1.5
333,4,3,1,3,5,3,0,2,4,5,0,6,6,4,6,0,0,1,0,1,1,1,-3,3,3,2,-3,3,1,-3,3,-3,3,-3,3,3,-3,3,1,5,6,0,6,0,1,5,1,2.67,2.17,0,0.75,1.75,1,59,6,98.543,1.5
334,2,2,0,2,3,3,1,3,3,5,3,3,4,2,2,1,1,0,0,0,0,0,1,-1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,2,4,2,3,3,3,-0.17,0.17,1,0,2.75,1,23,4,0,1.75
335,3,1,0,3,6,3,0,3,0,6,2,4,4,3,3,0,0,0,0,0,0,1,-2,2,2,1,-2,2,0,-2,2,-1,1,-3,3,0,0,0,0,3,4,2,4,3,3,5,4,1.17,1.17,0,0,3.75,1,30,5,24.888,1.5
336,4,2,1,2,5,4,4,1,5,4,1,5,5,6,4,2,1,2,2,2,2,1,2,-2,1,2,-2,2,1,-2,2,-2,2,-2,2,1,-2,2,2,4,4,1,5,3,4,4,4,0.83,1.83,1.5,2,3.75,2,36,5,6.267,1.75
337,1,1,1,4,4,1,2,5,1,1,4,4,5,4,5,2,-2,0,1,2,1,1,-3,3,2,2,0,0,1,-2,2,-2,2,-2,2,2,-3,3,2,5,6,0,6,1,4,4,5,1.83,1.83,0,1,3.5,1,26,5,71.96,2
338,3,1,0,0,6,3,0,0,3,6,0,0,0,1,2,-2,0,-1,-2,-2,-3,-3,1,-1,-2,-3,3,-3,0,2,-2,-1,1,1,-1,-2,1,-1,-1,0,0,6,0,0,2,3,4,-2,-1,-1,-2,2.25,2,34,6,27.943,1.25
339,2,1,0,4,4,2,5,0,0,2,0,4,5,3,4,0,0,1,1,1,1,0,-1,1,1,1,0,0,1,-1,1,-1,1,-1,1,1,-1,1,1,2,4,0,6,2,3,4,4,0.67,1,0,1,3.25,1,29,5,214.017,1
340,3,3,0,3,4,2,3,2,0,2,0,5,5,4,4,0,0,1,0,1,1,0,-2,2,2,0,0,0,1,-1,1,-1,1,-1,1,0,-3,3,1,3,4,2,4,0,3,4,4,1.17,0.83,0,0.75,2.75,2,57,5,87.063,2
341,1,3,1,2,4,3,0,0,5,6,0,5,5,4,5,2,2,1,1,1,1,1,-1,1,1,1,-1,1,1,-1,1,-1,1,-1,1,1,-1,1,1,5,5,1,5,1,4,5,5,1,1,2,1,3.75,1,43,5,215.26,1.75
342,3,4,1,0,5,4,0,0,6,5,0,3,3,5,3,0,0,-1,1,0,-1,0,-2,2,2,2,-2,2,1,-2,2,-3,3,-2,2,3,-3,3,1,4,5,1,5,0,2,4,3,2,1.83,0,-0.25,2.25,2,30,6,25.523,1.5
