participant_number,communication_medium,communicator_candidate,agree_with_communicator,own_political_views,how_strongly,evaluator_candidate,trump,kasich,clinton,sanders,cruz,competent,thoughtful,emotional,likable,experience1_pleasure,experience2_pain,agency1_self_control,agency2_remembering,agency3_planning,agency4_self_aware,humanization1_refined_cultured,humanization2_impulsive,humanization2_reverse_impulsive,humanization3_rational,humanization4_open_minded,humanization5_unsophisticated,humanization5_reverse_unsophisticated,humanization6_emotional_warm,humanization7_superficial,humanization7_reverse_superficial,humanization8_mechanical,humanization8_reverse_mechanical,humanization9_mindless,humanization9_reverse_mindless,humanization10_developed_adult,humanization11_animal_less_than_human,humanization11_reverse_animal_less_than_human,humanization12_warm_friendly,similarity_to_you,positive_impression,negative_impression,reverse_negative_impression,persuasion1_belief_change,persuasion2_how_persuasive,persuasion3_how_hard_think,persuasion4_how_rational,human_uniqueness_scale,human_nature_scale,experience_scale,agency_scale,persuasion_scale,gender,age,easy_to_understand,time_spent_on_stimulus,memory_score
343,2,1,0,1,5,3,0,0,0,6,0,4,4,3,5,1,1,1,1,1,2,1,-2,2,1,2,-1,1,2,0,0,-1,1,-1,1,2,0,0,2,2,4,2,4,0,0,3,3,1.17,1.33,1,1.25,1.5,1,28,5,81.316,1.25
344,2,3,0,6,6,2,6,3,0,0,0,1,3,4,1,0,1,-1,0,-1,1,-1,-1,1,0,0,-1,1,1,2,-2,-2,2,0,0,1,-2,2,1,2,1,5,1,0,0,5,0,0.67,0.33,0.5,-0.25,1.25,1,46,4,198.147,1.75
345,3,3,1,1,5,3,0,4,5,6,0,5,4,3,5,0,0,0,0,0,0,0,-2,2,1,2,0,0,1,-1,1,-3,3,-3,3,2,-3,3,2,4,5,0,6,0,3,4,5,1.33,2,0,0,3,2,38,6,43.405,2
346,1,1,0,2,4,3,3,3,2,5,3,5,5,3,5,0,0,2,1,1,1,2,-2,2,3,1,-3,3,0,-2,2,-1,1,-1,1,3,-3,3,1,5,5,1,5,2,4,5,5,2.67,1,0,1.25,4,1,33,4,146.938,1.5
347,2,1,0,3,2,3,0,3,1,3,2,5,4,3,5,0,0,2,2,1,2,1,-2,2,1,2,-1,1,0,-1,1,-2,2,-1,1,1,-3,3,0,4,5,0,6,4,6,5,4,1.5,1,0,1.75,4.75,2,23,5,143.866,1.5
348,1,2,0,4,1,6,2,4,3,2,3,4,5,2,5,0,0,0,0,0,0,-1,-3,3,-1,0,-1,1,0,-2,2,-2,2,-3,3,2,-3,3,1,1,5,1,5,0,0,3,1,1.17,1.33,0,0,1,1,40,5,45.367,1.75
349,3,3,1,2,3,6,2,3,4,4,3,4,5,3,5,0,-1,1,0,1,1,0,-3,3,1,1,-2,2,1,-3,3,-3,3,-3,3,1,-2,2,1,3,4,2,4,0,2,4,4,1.5,2,-0.5,0.75,2.5,2,22,6,75.14,1.5
350,2,3,0,6,6,2,5,5,1,2,4,3,4,2,4,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1,0,0,1,2,3,4,2,0,3,5,3,0.33,0.33,0,0,2.75,2,38,6,105.232,1.5
351,2,3,1,3,4,2,5,1,0,4,0,6,6,3,6,0,0,0,0,0,0,0,-3,3,3,1,-3,3,0,-3,3,-3,3,-3,3,2,-3,3,1,4,6,0,6,0,4,6,6,2.33,1.83,0,0,4,1,25,6,202.264,1.5
352,1,3,1,1,6,3,0,1,0,6,0,6,6,5,6,1,1,1,1,1,1,1,-3,3,1,1,-3,3,1,-3,3,-3,3,-3,3,2,-3,3,2,6,6,0,6,1,6,6,6,2.17,2.17,1,1,4.75,2,23,6,116.245,1.5
353,2,3,1,3,5,1,1,5,0,4,3,4,5,4,4,0,1,1,2,1,0,1,-1,1,1,2,-1,1,0,-1,1,-2,2,-2,2,0,-3,3,0,4,3,1,5,0,3,4,3,1.17,1.17,0.5,1,2.5,2,58,6,194.994,1
354,4,3,0,4,4,2,4,2,2,3,1,5,5,4,4,0,1,0,1,-1,0,0,-1,1,1,0,-2,2,0,0,0,-2,2,-3,3,2,-3,3,1,4,4,2,4,1,2,1,5,1.5,1,0.5,0,2.25,1,40,5,76.672,1.5
355,4,3,1,1,5,3,0,3,3,5,3,3,5,5,4,0,0,0,0,0,0,0,-1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,4,5,0,6,0,3,5,5,0.33,0.17,0,0,3.25,2,25,5,91.976,1.75
356,4,3,0,3,1,6,1,0,0,2,0,5,5,1,4,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,4,0,6,0,2,5,5,0,0,0,0,3,1,27,6,33.285,1.5
357,4,3,0,3,2,2,2,0,0,2,0,3,3,4,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,6,0,0,3,6,0,-0.17,0,0,2.25,1,32,3,57.172,1.5
358,4,2,0,5,5,1,1,4,1,0,3,1,1,5,2,1,1,-1,-1,-1,-2,-1,1,-1,-1,-2,2,-2,-2,2,-2,0,0,0,0,-1,0,0,-1,1,1,5,1,0,0,1,1,-1,-1.17,1,-1.25,0.5,1,52,6,8.061,2
359,1,4,1,3,0,2,6,0,4,5,3,5,4,4,4,-2,-2,1,1,1,1,1,-3,3,2,-1,1,-1,1,-2,2,2,-2,-2,2,-1,-2,2,2,0,4,1,5,1,1,1,4,1,0.67,-2,1,1.75,1,27,5,92.661,1.5
360,3,1,0,6,6,2,5,3,0,0,3,5,5,5,5,2,2,2,2,2,2,1,-2,2,2,2,-2,2,2,-2,2,-2,2,-2,2,2,-3,3,2,5,5,1,5,2,1,5,5,2,2,2,2,3.25,1,66,6,23.636,1.5
361,3,3,1,3,4,3,1,2,0,6,1,3,4,4,4,2,-1,1,1,1,2,-1,1,-1,-1,-1,1,-1,2,1,-1,-1,1,-1,1,-1,0,0,1,4,4,1,5,2,3,4,4,-0.83,0.5,0.5,1.25,3.25,1,26,5,60.159,1.25
362,3,3,0,3,4,3,0,1,2,3,2,5,6,3,3,1,0,1,0,0,1,-1,-1,1,1,0,1,-1,2,0,0,-2,2,-2,2,2,-3,3,0,2,3,2,4,1,3,5,2,0.83,1,0.5,0.5,2.75,1,27,6,123.307,1.25
363,3,3,1,3,3,3,0,0,0,6,0,6,6,0,6,1,0,2,2,2,2,2,-3,3,2,3,-3,3,1,-3,3,-3,3,-3,3,3,-3,3,2,5,6,0,6,0,6,4,6,2.67,2.5,0.5,2,4,2,44,6,16.607,1.5
364,4,4,1,0,6,3,0,1,5,6,0,1,1,3,5,0,0,0,-1,-1,-2,-2,0,0,-1,-1,2,-2,1,2,-2,-2,2,1,-1,-2,0,0,2,1,2,4,2,0,0,0,1,-1.17,0.17,0,-1,0.25,1,35,6,23.584,1.5
365,2,3,1,3,3,4,3,1,5,4,0,6,6,4,5,0,0,0,0,1,0,0,0,0,2,0,-2,2,0,-2,2,-2,2,-3,3,1,-3,3,0,3,6,0,6,0,4,6,6,1.33,1.17,0,0.25,4,1,26,6,228.255,1.5
366,1,1,0,5,4,2,6,1,1,1,0,4,4,3,3,1,1,1,0,1,0,-2,-1,1,1,1,0,0,0,-1,1,-2,2,-2,2,1,-3,3,1,2,3,3,3,0,0,3,2,0.67,1.17,1,0.5,1.25,2,43,4,186.404,1
367,1,2,0,4,3,3,2,1,2,5,1,3,3,2,3,0,0,0,0,0,0,-1,0,0,1,0,-1,1,1,-1,1,1,-1,0,0,2,-2,2,1,2,4,3,3,1,1,3,2,0.83,0.33,0,0,1.75,1,33,5,55.374,1.25
368,4,4,0,5,5,2,6,6,0,1,2,1,2,6,2,0,0,0,0,0,0,0,0,0,-1,1,0,0,1,0,0,0,0,-3,3,0,-3,3,1,1,4,2,4,0,1,4,3,0.33,1,0,0,2,2,46,6,14.904,1.5
369,1,1,0,2,3,6,1,3,3,3,1,3,4,1,2,0,0,0,0,0,0,-1,-3,3,1,1,1,-1,-1,-1,1,0,0,-1,1,2,-3,3,-1,2,3,2,4,0,4,4,4,1.17,0.17,0,0,3,2,36,5,135.875,1.5
370,4,3,1,2,5,3,3,3,0,6,0,5,5,4,5,2,-2,0,2,0,2,2,-2,2,2,3,-1,1,2,-1,1,-2,2,-2,2,2,-1,1,2,5,6,6,0,1,4,5,5,1.67,2,0,1,3.75,1,28,6,38.941,1.5
371,2,1,0,3,2,6,2,0,1,4,0,4,5,2,3,0,-1,1,2,2,1,1,-2,2,2,1,-1,1,0,-2,2,-1,1,-1,1,2,-3,3,0,2,3,1,5,0,1,3,3,1.83,0.83,-0.5,1.5,1.75,1,26,3,70.034,1.25
372,1,3,1,2,4,3,0,3,4,5,1,5,6,3,4,0,0,1,0,0,0,0,-1,1,1,1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1,1,4,5,1,5,1,4,5,5,0.83,0.83,0,0.25,3.75,2,28,6,199.341,1.75
373,2,4,0,4,4,6,3,2,0,0,4,3,3,3,3,0,0,0,0,0,0,-1,0,0,0,0,1,-1,0,0,0,0,0,0,0,0,-1,1,0,0,3,3,3,0,0,3,3,-0.17,0,0,0,1.5,2,42,5,95.405,1.5
374,2,3,0,5,5,5,1,2,0,3,6,6,6,4,6,0,0,0,0,0,0,1,-3,3,3,3,-3,3,3,-3,3,-3,3,-3,3,3,-3,3,0,4,6,0,6,4,4,6,5,2.67,2.5,0,0,4.75,2,34,6,191.199,1.5
375,3,4,1,4,3,2,6,4,4,3,2,5,4,2,3,2,-1,-2,0,1,1,-1,1,-1,1,0,-2,2,1,1,-1,-1,1,1,-1,1,-2,2,2,4,4,2,4,4,2,2,3,0.67,0.33,0.5,0,2.75,1,22,4,4.598,1
376,2,3,1,1,2,3,0,0,0,6,0,4,5,4,4,0,0,0,0,0,0,0,-2,2,1,1,0,0,0,-1,1,-2,2,-1,1,0,-2,2,0,4,5,1,5,0,4,4,6,0.83,0.83,0,0,3.5,2,36,6,104.263,0
377,4,1,0,3,6,3,2,3,2,5,2,4,4,4,4,2,1,2,1,1,2,1,0,0,2,2,-1,1,1,-1,1,-1,1,-1,1,2,-1,1,1,3,4,2,4,3,4,3,4,1.17,1.17,1.5,1.5,3.5,1,22,4,33.038,1.25
378,3,1,1,2,4,3,2,4,1,6,0,5,6,3,5,0,0,0,0,0,0,0,-2,2,1,1,0,0,0,0,0,0,0,0,0,2,0,0,0,4,5,1,5,1,4,6,6,0.83,0.17,0,0,4.25,1,42,5,27.194,1.5
379,2,2,0,3,1,3,1,1,1,6,1,3,3,2,2,0,-1,0,-1,-1,1,-1,-1,1,1,1,1,-1,0,-1,1,-1,1,-1,1,0,0,0,1,4,4,1,5,2,2,3,4,0,0.83,-0.5,-0.25,2.75,2,27,4,67.889,2
380,2,1,0,5,5,5,2,2,0,3,5,4,5,4,4,0,0,0,0,0,0,1,-1,1,2,2,-2,2,1,-2,2,-2,2,-2,2,2,-2,2,1,4,4,1,5,3,4,5,5,1.67,1.67,0,0,4.25,1,36,5,115.617,1.5
381,4,3,0,4,4,6,4,2,0,0,0,1,1,6,4,2,-2,-3,-1,-3,-2,-3,2,-2,-1,-2,2,-2,1,2,-2,-2,2,1,-1,-3,0,0,0,1,1,4,2,0,0,1,1,-1.83,-0.33,0,-2.25,0.5,1,37,6,11.865,1.5
382,1,4,0,3,6,3,0,3,0,5,1,6,6,1,6,0,0,1,1,3,3,0,-3,3,2,2,0,0,3,-3,3,-3,3,-3,3,3,-3,3,3,0,6,0,6,0,4,6,5,1.83,2.83,0,2,3.75,2,40,6,116.39,2
383,3,3,1,0,6,4,0,2,5,5,0,5,5,4,5,1,1,1,2,2,2,1,-3,3,2,2,-3,3,2,-3,3,-3,3,-3,3,2,-3,3,2,5,5,0,6,0,4,4,5,2.33,2.5,1,1.75,3.25,2,46,5,88.8,1.5
384,4,1,1,5,4,1,5,6,0,2,4,6,6,4,6,0,1,1,0,0,2,-1,-2,2,1,0,-1,1,1,-1,1,-2,2,-2,2,1,-2,2,2,5,6,0,6,0,5,5,6,1,1.33,0.5,0.75,4,2,53,6,35.338,1.5
385,2,1,0,0,6,3,0,0,3,5,0,1,1,1,0,0,0,0,-1,-1,0,-1,0,0,-1,-1,1,-1,0,0,0,0,0,0,0,0,0,0,0,3,1,5,1,0,0,3,1,-0.5,-0.17,0,-0.5,1,2,26,3,148.432,1.5
386,2,1,0,3,4,6,0,0,0,1,0,6,6,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,3,0,6,0,0,0,6,0.17,0,0,0,1.5,2,41,6,147.88,1
387,2,2,0,0,4,4,0,1,6,4,1,0,0,5,0,0,0,-3,-2,-2,-3,-2,-1,1,-2,-3,2,-2,-2,3,-3,2,-2,2,-2,-2,-1,1,-2,0,0,6,0,0,0,1,1,-1,-2.33,0,-2.5,0.5,2,40,5,48.004,1.75
388,4,3,1,2,5,3,3,2,0,5,2,2,4,3,3,2,2,1,1,1,1,-1,-2,2,1,0,2,-2,2,-1,1,-3,3,-1,1,-1,-3,3,0,3,2,4,2,0,4,3,3,0.33,1.17,2,1,2.5,2,28,2,64.404,1.5
389,2,4,0,3,3,3,0,0,3,6,0,5,1,5,5,0,0,0,0,0,-1,0,0,0,1,1,0,0,1,0,0,0,0,0,0,3,0,0,3,3,6,1,5,0,0,2,2,0.67,0.83,0,-0.25,1,2,58,6,107.575,1
390,4,3,1,3,5,2,5,1,1,4,2,6,6,4,5,0,0,1,0,2,2,1,-3,3,1,0,-1,1,0,-3,3,-3,3,-3,3,1,-3,3,1,5,6,0,6,1,4,5,5,1.67,1.67,0,1.25,3.75,2,43,6,137.292,1.75
391,1,4,0,0,5,3,1,3,2,6,0,3,4,4,4,0,0,0,0,0,0,-1,1,-1,1,2,0,0,1,-1,1,-2,2,-2,2,2,-2,2,1,4,4,1,5,2,3,4,5,0.5,1.5,0,0,3.5,2,24,6,238.875,1.5
392,4,1,0,1,5,3,0,0,0,6,0,4,4,3,3,0,0,0,0,0,0,0,-1,1,0,-1,0,0,0,0,0,0,0,0,0,0,-1,1,0,2,3,3,3,0,0,4,5,0.33,-0.17,0,0,2.25,2,36,6,16.082,1.5
393,1,2,0,1,4,3,1,4,5,6,5,3,3,2,3,1,1,1,2,-1,1,-1,1,-1,-1,-1,1,-1,1,2,-2,1,-1,2,-2,2,2,-2,1,2,2,3,3,4,2,3,4,-0.67,-0.67,1,0.75,3.25,2,30,3,62.403,1.5
394,4,2,0,3,6,3,0,2,3,6,1,0,0,6,2,0,0,-3,0,0,0,-3,1,-1,-3,-3,3,-3,0,2,-2,0,0,3,-3,-3,2,-2,0,0,0,6,0,0,0,0,0,-2.5,-1.33,0,-0.75,0,2,29,5,13.782,2
395,3,1,1,0,6,4,0,4,6,6,0,2,3,4,3,1,1,1,1,0,0,-1,0,0,-1,-1,1,-1,0,1,-1,-2,2,0,0,0,-2,2,1,1,3,2,4,0,0,1,1,-0.17,0.17,1,0.5,0.5,2,48,3,20,1.5
396,3,3,1,4,5,2,5,5,3,5,5,6,5,3,4,2,2,1,2,2,2,2,2,-2,2,2,2,-2,2,2,-2,2,-2,3,-3,2,3,-3,2,3,4,5,1,4,5,5,5,-0.17,-0.17,2,1.75,4.75,2,26,6,51.09,0
397,2,3,1,0,6,3,0,1,5,6,0,6,6,4,5,0,0,2,3,1,3,0,-3,3,2,3,-2,2,1,-3,3,-3,3,-3,3,3,-3,3,1,5,6,0,6,0,6,6,6,2.17,2.33,0,2.25,4.5,2,48,6,173.364,2
398,1,1,0,3,3,6,1,3,1,3,3,5,4,1,3,0,0,1,0,0,0,0,-1,1,0,0,0,0,-1,0,0,0,0,-3,3,0,-3,3,-1,1,3,2,4,0,3,2,5,0.67,0.17,0,0.25,2.5,2,38,3,152.024,1.75
399,1,3,1,2,4,3,0,2,4,5,1,5,5,5,5,0,0,1,0,1,1,0,-1,1,1,2,-1,1,1,-1,1,-2,2,-2,2,1,-3,3,1,4,5,1,5,2,4,5,5,1.17,1.5,0,0.75,4,1,27,5,101.564,1.5
400,3,1,1,3,4,1,1,4,1,1,0,2,3,4,3,1,1,0,-1,-1,0,-2,0,0,-1,-1,-1,1,0,1,-1,-1,1,0,0,0,0,0,1,2,3,3,3,0,1,2,3,-0.33,0,1,-0.5,1.5,1,18,4,49.113,1.5
401,1,1,0,2,6,3,2,0,0,6,0,1,1,2,1,0,1,-1,-3,-2,-2,-1,0,0,-2,-2,2,-2,-1,1,-1,1,-1,2,-2,-1,0,0,-2,0,0,6,0,0,0,1,1,-1,-1.5,0.5,-2,0.5,1,58,2,142.104,0.25
402,4,1,0,2,5,3,0,1,0,6,0,3,4,2,4,0,0,0,0,0,0,-1,-2,2,2,2,0,0,0,-2,2,-2,2,-2,2,2,-2,2,1,4,4,2,4,0,4,4,6,1.17,1.5,0,0,3.5,2,42,5,94.26,1.5
403,2,3,0,6,6,5,2,3,0,0,6,0,0,6,0,0,0,-2,0,0,-2,-2,2,-2,-3,-1,1,-1,1,3,-3,0,0,2,-2,-3,2,-2,0,0,0,6,0,0,0,2,0,-2.17,-0.83,0,-1,0.5,2,30,0,102.481,1.5
404,3,4,0,4,4,5,0,3,1,3,4,1,2,4,1,0,0,-2,0,-1,-1,-2,-1,1,-1,-1,2,-2,0,1,-1,0,0,0,0,0,-1,1,-1,1,2,4,2,0,0,2,2,-0.5,-0.5,0,-1,1,1,26,3,27.968,1.5
405,3,3,0,6,6,2,5,1,0,0,4,1,4,5,2,0,0,-1,-1,-1,-2,-2,0,0,-3,-2,2,-2,1,0,0,0,0,0,0,-2,0,0,1,0,1,4,2,0,0,4,2,-1.5,0,0,-1.25,1.5,2,36,4,55.083,1.75
406,1,1,0,3,6,6,5,3,0,6,0,6,6,3,5,0,0,0,1,2,2,2,-3,3,3,3,2,-2,3,0,0,-1,1,2,-2,3,-3,3,3,4,5,0,6,4,4,6,6,2,1.33,0,1.25,5,1,23,6,112.321,1.75
407,1,3,1,1,4,3,0,1,4,6,1,5,5,4,5,0,0,0,0,0,0,1,-3,3,1,2,-3,3,1,-3,3,-3,3,-3,3,2,-3,3,1,3,5,0,6,2,5,1,5,2.17,2.17,0,0,3.25,2,29,6,186.745,1.5
408,1,1,0,1,3,4,1,2,6,5,0,3,4,4,1,0,0,-1,1,0,-1,-3,-1,1,1,1,-1,1,0,0,0,1,-1,0,0,-1,0,0,1,1,3,3,3,0,1,4,4,-0.17,0.17,0,-0.25,2.25,1,26,2,65.16,1.5
409,1,3,1,1,2,6,5,5,5,5,5,6,6,5,5,2,2,2,2,2,2,2,-3,3,2,2,-2,2,2,-3,3,-3,3,-3,3,2,-3,3,2,4,5,1,5,3,4,5,5,2.33,2.5,2,2,4.25,1,28,6,201.703,1.5
410,4,4,0,1,5,3,2,1,0,6,0,0,1,1,0,0,0,-1,-1,-1,0,0,0,0,-2,-3,0,0,0,3,-3,-2,2,0,0,0,-3,3,0,0,0,3,3,0,0,0,0,0.17,-0.67,0,-0.75,0,1,27,6,10.466,1.75
411,4,3,0,3,5,5,1,0,0,0,4,1,3,4,3,1,1,0,1,2,1,-2,-3,3,-1,-2,1,-1,1,0,0,-2,2,-3,3,1,-3,3,-1,0,3,4,2,0,0,4,2,0.5,0.5,1,1,1.5,1,55,4,60.153,1.75
412,3,1,0,1,5,3,0,0,4,5,0,2,3,3,3,0,0,0,0,0,0,-1,-1,1,0,0,1,-1,0,0,0,-2,2,-2,2,-1,-3,3,0,3,3,2,4,0,2,3,3,0.17,0.67,0,0,2,2,39,4,142.543,1
413,1,2,0,1,4,3,1,4,4,5,2,4,4,3,4,0,0,0,0,0,0,-1,1,-1,-1,0,0,0,1,0,0,-1,1,0,0,1,0,0,0,3,4,1,5,1,2,4,3,-0.33,0.33,0,0,2.5,1,29,4,44.857,2
414,3,3,0,2,4,6,0,4,3,2,0,3,6,4,5,2,1,-1,0,0,1,0,-1,1,1,3,-1,1,2,-2,2,-2,2,-2,2,1,-2,2,3,3,4,2,4,0,2,5,3,1,2.33,1.5,0,2.5,1,30,4,34.37,1.75
415,4,3,1,2,1,3,0,3,3,6,1,5,5,4,4,0,0,0,0,1,1,0,-2,2,2,2,-2,2,0,-2,2,-2,2,-2,2,2,-2,2,0,4,5,1,5,3,5,4,5,1.67,1.33,0,0.5,4.25,1,34,5,68.124,1.5
416,1,3,1,0,6,3,0,4,6,6,0,6,6,0,6,3,3,3,3,3,3,2,-3,3,3,3,-3,3,3,-3,3,-3,3,-3,3,3,-3,3,3,5,6,0,6,0,6,6,6,2.83,3,3,3,4.5,1,28,6,203.303,1.5
417,3,1,0,0,5,3,0,2,2,6,0,1,2,3,0,0,0,0,-1,-1,-1,-3,0,0,-2,-3,2,-2,-1,0,0,0,0,0,0,0,0,0,-1,0,1,4,2,0,0,1,0,-1.17,-0.83,0,-0.75,0.25,1,38,1,59.533,2
418,2,2,1,2,6,3,4,2,3,6,0,5,4,2,5,1,1,1,1,1,1,0,-2,2,0,2,-2,2,-1,-2,2,-2,2,-2,2,1,-3,3,0,4,4,0,6,0,4,0,4,1.33,1.17,1,1,2,1,29,4,53.3,2
419,2,3,0,0,6,4,0,2,6,3,1,4,5,2,4,0,1,2,1,1,2,1,-2,2,2,1,-2,2,1,-2,2,-1,1,-1,1,2,-3,3,1,4,4,1,5,2,4,5,5,2,1.17,0.5,1.5,4,1,32,6,212.573,1.5
420,2,4,0,6,6,5,2,3,0,0,6,0,0,6,0,0,0,-2,-1,-1,-1,-3,0,0,-2,-2,2,-2,1,2,-2,-2,2,1,-1,-2,-2,2,1,0,0,6,0,0,0,0,0,-1.17,-0.17,0,-1.25,0,2,30,6,95.632,1.5
421,1,1,1,4,4,1,0,4,1,1,1,4,4,3,3,1,1,1,1,0,0,-1,1,-1,0,0,2,-2,0,1,-1,-1,1,-1,1,0,-1,1,1,4,4,2,4,3,3,3,4,-0.5,0.33,1,0.5,3.25,1,67,5,65.431,1.25
422,4,2,0,2,5,1,0,5,2,4,2,1,1,2,2,0,0,0,0,0,-2,-2,0,0,-1,-2,-2,2,-1,1,-1,0,0,1,-1,-1,0,0,-2,0,1,5,1,0,0,0,1,-0.33,-1.17,0,-0.5,0.25,2,35,1,8.26,2
423,2,1,0,5,5,5,0,3,4,2,6,6,6,5,6,0,0,0,0,0,0,0,-2,2,0,0,-2,2,0,0,0,-2,2,0,0,0,-2,2,0,5,6,0,6,3,5,5,5,1,0.33,0,0,4.5,2,35,6,67.082,1.25
424,4,3,0,3,3,6,2,2,2,2,2,3,3,4,3,0,0,0,0,0,0,0,0,0,0,-1,0,0,-1,-1,1,0,0,-1,1,0,0,0,0,3,3,3,3,3,3,2,3,0,0,0,0,2.75,1,26,4,48.538,0.75
425,3,3,1,0,6,4,0,1,6,5,0,4,6,6,5,1,0,0,0,0,1,0,-2,2,2,3,-1,1,1,-2,2,-2,2,-2,2,3,-3,3,2,4,5,1,5,2,4,5,5,1.83,2,0.5,0.25,4,1,34,6,96.763,2
426,3,3,0,3,4,2,4,3,0,1,2,6,6,5,6,1,1,2,2,2,1,2,-3,3,3,1,-3,3,1,-2,2,-3,3,-3,3,3,-3,3,2,6,6,0,6,1,6,6,6,2.83,2,1,1.75,4.75,2,40,6,575.408,1.5
427,3,1,1,6,6,1,2,6,0,0,3,6,6,6,6,2,2,2,3,3,2,2,-3,3,2,2,-2,2,2,-2,2,-2,2,-3,3,2,-3,3,2,6,6,0,6,0,6,6,6,2.33,2.17,2,2.5,4.5,2,62,6,52.807,1.5
428,3,2,0,3,3,3,0,0,0,6,0,1,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,2,4,2,2,2,2,0,0,0,0,2,1,23,0,9.073,1.75
429,2,1,0,2,4,3,0,1,0,3,0,6,6,2,3,0,0,0,1,1,0,0,0,0,2,0,-3,3,0,0,0,1,-1,-1,1,3,-3,3,0,0,5,0,6,0,3,6,6,1.83,0,0,0.5,3.75,1,25,4,116.187,1.25
430,1,1,0,1,5,3,0,1,4,6,1,6,6,0,6,0,0,0,0,0,0,0,0,0,1,1,-1,1,0,-1,1,-1,1,-1,1,1,-1,1,1,4,6,0,6,0,5,6,6,0.67,0.83,0,0,4.25,2,39,6,145.213,1.5
